event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
MLI29888,"07 April 2023",2023,1,"Political violence","Violence against civilians",Attack,"Dan Na Ambassagou",,4,47,"Civilian targeting",466,"Western Africa",Mali,Mopti,Mopti,Sio,Hamdallaye,14.3293,-4.083,1,"Undisclosed Source","Local partner-Other","On 7 April 2023, Dan Na Ambassagou militiamen killed a young Fulani man in the village of Hamdallaye (Mopti, Mopti).",1,,1681221316
MLI29888,"07 April 2023",2023,1,"Political violence","Violence against civilians",Attack,"Civilians (Mali)","Fulani Ethnic Group (Mali); Pastoralists (Mali)",7,47,"Civilian targeting",466,"Western Africa",Mali,Mopti,Mopti,Sio,Hamdallaye,14.3293,-4.083,1,"Undisclosed Source","Local partner-Other","On 7 April 2023, Dan Na Ambassagou militiamen killed a young Fulani man in the village of Hamdallaye (Mopti, Mopti).",1,,1681221316
MLI29889,"07 April 2023",2023,1,"Political violence","Violence against civilians",Attack,"Islamic State (Sahel)",,2,27,"Civilian targeting",466,"Western Africa",Mali,Gao,Ansongo,Bara,Bara,15.8171,0.325,1,"Undisclosed Source","Local partner-Other","On 7 April 2023, IS Sahel militants assaulted residents and extorted a sum of cash from the village chief and seized the motorcycle of the village chief's son in the village of Bara (Bara, Ansongo).",0,,1681221316
MLI29889,"07 April 2023",2023,1,"Political violence","Violence against civilians",Attack,"Civilians (Mali)","Bara Communal Group (Mali)",7,27,"Civilian targeting",466,"Western Africa",Mali,Gao,Ansongo,Bara,Bara,15.8171,0.325,1,"Undisclosed Source","Local partner-Other","On 7 April 2023, IS Sahel militants assaulted residents and extorted a sum of cash from the village chief and seized the motorcycle of the village chief's son in the village of Bara (Bara, Ansongo).",0,,1681221316
MLI29893,"07 April 2023",2023,1,"Political violence","Violence against civilians",Attack,"JNIM: Group for Support of Islam and Muslims",,2,27,"Civilian targeting",466,"Western Africa",Mali,Tombouctou,Niafunke,Souboundou,Niafunke,15.9322,-3.9906,1,"Undisclosed Source; Whatsapp","Local partner-Other","On 7 April 2023, JNIM militants killed a policeman (assumed off-duty) in the outskirts of Niafunke (Niafunke, Tombouctou).",1,,1681221316
MLI29893,"07 April 2023",2023,1,"Political violence","Violence against civilians",Attack,"Civilians (Mali)","Police Forces of Mali (2021-)",7,27,"Civilian targeting",466,"Western Africa",Mali,Tombouctou,Niafunke,Souboundou,Niafunke,15.9322,-3.9906,1,"Undisclosed Source; Whatsapp","Local partner-Other","On 7 April 2023, JNIM militants killed a policeman (assumed off-duty) in the outskirts of Niafunke (Niafunke, Tombouctou).",1,,1681221316
MLI29875,"06 April 2023",2023,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","JNIM: Group for Support of Islam and Muslims",,2,24,,466,"Western Africa",Mali,Mopti,Mopti,Kounari,Simina,14.7561,-3.95,2,"Undisclosed Source","Local partner-Other","On 6 April 2023, a motorcycle booby-trapped by JNIM militants exploded between Simina and Konna (Mopti, Mopti). Three Dan Na Ambassagou militiamen were killed and four wounded.",3,,1681221316
MLI29875,"06 April 2023",2023,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Dan Na Ambassagou",,4,24,,466,"Western Africa",Mali,Mopti,Mopti,Kounari,Simina,14.7561,-3.95,2,"Undisclosed Source","Local partner-Other","On 6 April 2023, a motorcycle booby-trapped by JNIM militants exploded between Simina and Konna (Mopti, Mopti). Three Dan Na Ambassagou militiamen were killed and four wounded.",3,,1681221316
MLI29882,"06 April 2023",2023,1,"Political violence",Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,24,,466,"Western Africa",Mali,Mopti,Bandiagara,Doucoumbo,Songho,14.3711,-3.709,2,"Undisclosed Source","Local partner-Other","On 6 April 2023, JNIM militants and Dan Na Ambassagou clashed in the area of Songho (Bandiagara, Mopti). Casualties unknown.",0,,1681221316
MLI29882,"06 April 2023",2023,1,"Political violence",Battles,"Armed clash","Dan Na Ambassagou",,4,24,,466,"Western Africa",Mali,Mopti,Bandiagara,Doucoumbo,Songho,14.3711,-3.709,2,"Undisclosed Source","Local partner-Other","On 6 April 2023, JNIM militants and Dan Na Ambassagou clashed in the area of Songho (Bandiagara, Mopti). Casualties unknown.",0,,1681221316
