name,country,latitude,longitude,location_type,conflict_date,population
Gao,Mali,15.4352,0.4643,conflict_zone,217,542304
Mopti,Mali,14.3293,-4.083,conflict_zone,218,2036209
Segou,Mali,14.0432,-6.0618,conflict_zone,217,2338349
Tombouctou,Mali,15.9322,-3.9906,conflict_zone,218,674793
Kayes,Mali,12.7093,-11.3583,conflict_zone,174,1993615
Sikasso,Mali,11.428,-6.4359,conflict_zone,109,2643179
Koulikoro,Mali,13.155,-7.9544,conflict_zone,217,2422108
Menaka,Mali,15.945,2.1152,conflict_zone,211,0
Kidal,Mali,18.44,1.41,conflict_zone,90,67739
Bamako,Mali,12.65,-8.0,conflict_zone,119,1810366
