Day,Date,Fassala sim,Fassala data,Fassala error,Mentao sim,Mentao data,Mentao error,Dori sim,Dori data,Dori error,Damba sim,Damba data,Damba error,Djibo sim,Djibo data,Djibo error,Niamey sim,Niamey data,Niamey error,Mangaize sim,Mangaize data,Mangaize error,Ayorou sim,Ayorou data,Ayorou error,Tahoua sim,Tahoua data,Tahoua error,Abala sim,Abala data,Abala error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-09-01,9976,9983,0.0007,8500,8506,0.0007,7017,7023,0.0009,4360,4362,0.0005,2284,2278,0.0026,36281,36316,0.001,5581,5536,0.0081,11280,11281,0.0001,12475,12481,0.0005,21155,21156,0.0,0.0009705132749337519,118922,118918,118494,118909,0
1,2022-09-02,9967,10563,0.0564,8501,8508,0.0008,7022,7017,0.0007,4360,4382,0.005,2283,2285,0.0009,36238,36346,0.003,5654,5557,0.0175,11270,11271,0.0001,12475,12025,0.0374,21130,21208,0.0037,0.011534434424291553,119162,118916,118428,118900,66
2,2022-09-03,9961,11143,0.1061,8505,8511,0.0007,7027,7012,0.0021,4360,4402,0.0095,2279,2293,0.0061,36202,36377,0.0048,5717,5579,0.0247,11251,11261,0.0009,12475,11570,0.0782,21117,21260,0.0067,0.022219781519562703,119408,118916,118363,118894,131
3,2022-09-04,9955,11166,0.1085,8506,8514,0.0009,7031,7006,0.0036,4360,4422,0.014,2278,2301,0.01,36202,36408,0.0057,5717,5601,0.0207,11243,11251,0.0007,12475,11682,0.0679,21117,21312,0.0091,0.022368699032407995,119663,118912,118335,118884,159
4,2022-09-05,9946,11189,0.1111,8507,8517,0.0012,7033,7001,0.0046,4360,4442,0.0185,2277,2309,0.0139,36202,36439,0.0065,5717,5623,0.0167,11240,11241,0.0001,12475,11801,0.0571,21117,21419,0.0141,0.022880954795956317,119981,118913,118308,118874,186
5,2022-09-06,9944,11213,0.1132,8507,8520,0.0015,7040,7134,0.0132,4360,4462,0.0229,2277,2317,0.0173,36202,36470,0.0073,5717,5645,0.0128,11232,11232,0.0,12475,11861,0.0518,21117,21526,0.019,0.024352309707958243,120380,118913,118305,118871,189
6,2022-09-07,9931,11385,0.1277,8508,8611,0.012,7045,7166,0.0169,4360,4402,0.0095,2276,2325,0.0211,36202,36501,0.0082,5717,5667,0.0088,11226,11201,0.0022,12475,11921,0.0465,21117,21732,0.0283,0.02799614545823401,120911,118912,118302,118857,192
7,2022-09-08,9922,11501,0.1373,8509,8618,0.0126,7050,7199,0.0207,4362,4446,0.0189,2275,2337,0.0265,36204,36536,0.0091,5717,5692,0.0044,11220,11223,0.0003,12475,11981,0.0412,21117,21901,0.0358,0.030608622147083684,121434,118914,118300,118851,194
8,2022-09-09,9914,11563,0.1426,8515,8626,0.0129,7054,7218,0.0227,4362,4490,0.0285,2269,2350,0.0345,36204,36572,0.0101,5717,5717,0.0,11214,11246,0.0028,12475,11683,0.0678,21117,21969,0.0388,0.03530943303718607,121434,118912,118297,118841,197
9,2022-09-10,9901,11625,0.1483,8515,8634,0.0138,7060,7237,0.0245,4362,4534,0.0379,2269,2363,0.0398,36204,36607,0.011,5717,5742,0.0044,11205,11246,0.0036,12475,11386,0.0956,21117,22037,0.0417,0.04027220085379771,121411,118911,118295,118825,199
