Date,refugee_numbers
2022-09-01,4090
2022-09-02,962
2022-09-03,0
2022-09-04,4866
2022-09-05,1644
2022-09-06,5521
2022-09-07,2542
2022-09-08,3358
2022-09-09,4329
2022-09-10,3183
2022-09-11,6128
2022-09-12,3599
2022-09-13,5477
2022-09-14,3547
2022-09-15,7742
2022-09-16,5595
2022-09-17,2989
2022-09-18,3228
2022-09-19,4802
2022-09-20,3138
2022-09-21,8526
2022-09-22,10520
2022-09-23,7462
2022-09-24,8109
2022-09-25,7701
2022-09-26,5815
2022-09-27,8825
2022-09-28,5802
2022-09-29,8450
2022-09-30,11519
2022-10-01,6480
2022-10-02,5817
2022-10-03,10572
2022-10-04,10724
2022-10-05,12509
2022-10-06,11270
2022-10-07,11831
2022-10-08,10443
2022-10-09,9215
2022-10-10,12812
2022-10-11,14773
2022-10-12,13111
2022-10-13,12414
2022-10-14,12873
2022-10-15,15378
2022-10-16,15905
2022-10-17,11527
2022-10-18,13249
2022-10-19,11757
2022-10-20,14967
2022-10-21,15262
2022-10-22,16954
2022-10-23,17695
2022-10-24,17479
2022-10-25,15017
2022-10-26,16686
2022-10-27,15137
2022-10-28,19202
2022-10-29,16085
2022-10-30,19390
2022-10-31,19336
2022-11-01,15545
2022-11-02,18455
2022-11-03,21775
2022-11-04,17684
2022-11-05,22091
2022-11-06,20316
2022-11-07,20426
2022-11-08,19891
2022-11-09,20934
2022-11-10,25308
2022-11-11,24000
2022-11-12,26079
2022-11-13,27038
2022-11-14,23844
2022-11-15,25209
2022-11-16,26167
2022-11-17,24734
2022-11-18,30005
2022-11-19,29206
2022-11-20,28417
2022-11-21,29133
2022-11-22,31648
2022-11-23,27683
2022-11-24,32753
2022-11-25,32340
2022-11-26,32026
2022-11-27,33090
2022-11-28,33156
2022-11-29,30867
2022-11-30,32659
2022-12-01,34685
2022-12-02,35187
2022-12-03,36941
2022-12-04,39292
2022-12-05,36833
2022-12-06,37204
2022-12-07,36024
2022-12-08,39586
2022-12-09,38932
2022-12-10,39390
2022-12-11,38085
2022-12-12,39604
2022-12-13,42996
2022-12-14,43642
2022-12-15,40489
2022-12-16,46991
2022-12-17,46338
2022-12-18,46043
2022-12-19,46407
2022-12-20,48362
2022-12-21,50895
2022-12-22,47838
2022-12-23,46219
2022-12-24,49308
2022-12-25,50872
2022-12-26,48678
2022-12-27,52429
2022-12-28,54328
2022-12-29,52454
2022-12-30,52575
2022-12-31,51358
2023-01-01,55097
2023-01-02,53062
2023-01-03,57550
2023-01-04,55323
2023-01-05,59390
2023-01-06,56572
2023-01-07,59919
2023-01-08,57316
2023-01-09,57184
2023-01-10,59139
2023-01-11,60490
2023-01-12,64600
2023-01-13,62426
2023-01-14,62494
2023-01-15,61642
2023-01-16,67119
2023-01-17,66761
2023-01-18,64697
2023-01-19,66058
2023-01-20,70906
2023-01-21,67614
2023-01-22,66997
2023-01-23,71161
2023-01-24,70963
2023-01-25,70977
2023-01-26,72536
2023-01-27,72855
2023-01-28,72586
2023-01-29,71579
2023-01-30,72375
2023-01-31,76970
2023-02-01,76429
2023-02-02,76390
2023-02-03,75172
2023-02-04,76693
2023-02-05,81311
2023-02-06,79172
2023-02-07,78649
2023-02-08,79654
2023-02-09,81159
2023-02-10,83621
2023-02-11,81483
2023-02-12,82641
2023-02-13,86056
2023-02-14,85287
2023-02-15,82036
2023-02-16,86704
2023-02-17,87406
2023-02-18,84396
2023-02-19,87971
2023-02-20,87152
2023-02-21,87334
2023-02-22,89383
2023-02-23,91420
2023-02-24,86770
2023-02-25,92373
2023-02-26,92703
2023-02-27,92471
2023-02-28,92572
2023-03-01,93713
2023-03-02,93822
2023-03-03,91455
2023-03-04,97763
2023-03-05,96098
2023-03-06,97678
2023-03-07,98165
2023-03-08,101107
2023-03-09,97988
2023-03-10,94914
2023-03-11,101271
2023-03-12,96149
2023-03-13,102439
2023-03-14,102405
2023-03-15,100629
2023-03-16,102087
2023-03-17,102587
2023-03-18,104405
2023-03-19,105193
2023-03-20,104795
2023-03-21,106610
2023-03-22,104551
2023-03-23,106687
2023-03-24,106997
2023-03-25,106757
2023-03-26,106370
2023-03-27,106643
2023-03-28,110577
2023-03-29,107806
2023-03-30,106002
2023-03-31,111524
2023-04-01,108221
2023-04-02,111074
2023-04-03,110574
2023-04-04,113697
2023-04-05,113595
2023-04-06,111692
2023-04-07,112135
2023-04-08,113999
2023-04-09,115815
2023-04-10,112735
2023-04-11,113904
2023-04-12,113720
2023-04-13,115579
2023-04-14,112114
2023-04-15,113522
2023-04-16,113858
2023-04-17,114148
2023-04-18,116220
2023-04-19,118126
2023-04-20,116951
2023-04-21,114764
2023-04-22,116225
2023-04-23,118449
2023-04-24,118675
2023-04-25,117175
2023-04-26,118546
2023-04-27,117480
2023-04-28,119521
2023-04-29,120669
2023-04-30,116645
2023-05-01,120467
2023-05-02,117478
2023-05-03,117229
2023-05-04,120355
2023-05-05,120890
2023-05-06,118514
2023-05-07,115554
2023-05-08,117600
2023-05-09,116665
2023-05-10,116625
2023-05-11,116561
2023-05-12,119621
2023-05-13,117124
2023-05-14,116228
2023-05-15,116994
2023-05-16,116484
2023-05-17,116074
2023-05-18,116974
2023-05-19,115866
2023-05-20,119180
2023-05-21,116505
2023-05-22,116007
2023-05-23,116598
2023-05-24,117165
2023-05-25,118371
2023-05-26,114515
2023-05-27,114901
2023-05-28,114704
2023-05-29,120054
2023-05-30,116616
2023-05-31,119073
2023-06-01,114556
2023-06-02,116620
2023-06-03,114292
2023-06-04,115343
2023-06-05,111909
2023-06-06,116289
2023-06-07,115107
2023-06-08,114753
2023-06-09,115077
2023-06-10,114027
2023-06-11,114493
2023-06-12,111581
2023-06-13,113957
2023-06-14,111361
2023-06-15,113096
2023-06-16,113196
2023-06-17,111916
2023-06-18,112457
2023-06-19,112352
2023-06-20,109936
2023-06-21,112328
2023-06-22,112105
2023-06-23,112513
2023-06-24,109125
2023-06-25,109621
2023-06-26,109167
2023-06-27,106303
2023-06-28,105593
2023-06-29,111130
2023-06-30,104467
2023-07-01,103239
2023-07-02,104887
2023-07-03,109165
2023-07-04,102581
2023-07-05,103951
2023-07-06,105344
2023-07-07,102773
2023-07-08,103174
2023-07-09,103044
2023-07-10,98445
2023-07-11,101178
2023-07-12,100112
2023-07-13,100100
2023-07-14,99031
2023-07-15,99162
2023-07-16,97669
2023-07-17,97341
2023-07-18,99230
2023-07-19,96591
2023-07-20,94366
2023-07-21,94543
2023-07-22,94547
2023-07-23,94595
2023-07-24,95677
2023-07-25,97208
2023-07-26,97120
2023-07-27,94315
2023-07-28,93171
2023-07-29,91109
2023-07-30,91874
2023-07-31,91180
2023-08-01,86573
2023-08-02,90682
2023-08-03,90582
2023-08-04,86641
2023-08-05,87194
2023-08-06,86212
2023-08-07,85085
2023-08-08,84598
2023-08-09,85223
2023-08-10,83210
2023-08-11,84671
2023-08-12,84209
2023-08-13,84306
2023-08-14,83412
2023-08-15,80534
2023-08-16,81089
2023-08-17,81657
2023-08-18,80860
2023-08-19,78446
2023-08-20,79231
2023-08-21,77030
2023-08-22,75486
2023-08-23,77136
2023-08-24,75912
2023-08-25,77219
2023-08-26,73943
2023-08-27,73472
2023-08-28,77050
2023-08-29,75150
2023-08-30,75081
2023-08-31,75849
2023-09-01,73960
2023-09-02,74970
2023-09-03,73739
2023-09-04,73349
2023-09-05,70693
2023-09-06,70865
2023-09-07,74530
2023-09-08,70320
2023-09-09,69481
2023-09-10,70692
2023-09-11,69118
2023-09-12,70975
2023-09-13,66821
2023-09-14,69519
2023-09-15,68110
2023-09-16,66357
2023-09-17,64147
2023-09-18,67533
2023-09-19,66544
2023-09-20,64623
2023-09-21,67916
2023-09-22,65503
2023-09-23,62766
2023-09-24,63590
2023-09-25,60961
2023-09-26,63453
2023-09-27,64237
2023-09-28,63142
2023-09-29,65174
2023-09-30,63152
2023-10-01,62878
2023-10-02,59841
2023-10-03,61526
2023-10-04,60826
2023-10-05,64635
2023-10-06,60757
2023-10-07,62770
2023-10-08,60604
2023-10-09,59545
2023-10-10,62557
2023-10-11,60267
2023-10-12,61353
2023-10-13,60926
2023-10-14,61019
2023-10-15,60883
2023-10-16,61391
2023-10-17,58752
2023-10-18,60960
2023-10-19,58705
2023-10-20,59912
2023-10-21,58113
2023-10-22,58126
2023-10-23,56604
2023-10-24,57884
2023-10-25,57304
2023-10-26,57228
2023-10-27,60226
2023-10-28,58714
2023-10-29,58526
2023-10-30,58233
2023-10-31,58340
2023-11-01,58265
2023-11-02,58094
2023-11-03,60115
2023-11-04,56573
2023-11-05,58229
2023-11-06,57473
2023-11-07,58552
2023-11-08,58224
2023-11-09,56903
2023-11-10,56632
2023-11-11,56791
2023-11-12,56742
2023-11-13,56509
2023-11-14,57688
2023-11-15,55133
2023-11-16,59072
2023-11-17,58396
2023-11-18,58537
2023-11-19,57142
2023-11-20,61051
2023-11-21,61233
2023-11-22,60988
2023-11-23,59020
2023-11-24,61942
2023-11-25,61781
2023-11-26,58542
2023-11-27,62800
2023-11-28,61692
2023-11-29,61029
2023-11-30,59952
2023-12-01,62266
2023-12-02,61522
2023-12-03,62225
2023-12-04,61219
2023-12-05,63221
2023-12-06,62671
2023-12-07,64604
2023-12-08,66287
2023-12-09,63238
2023-12-10,67251
2023-12-11,64871
2023-12-12,68787
2023-12-13,64892
2023-12-14,67638
2023-12-15,65331
2023-12-16,66952
2023-12-17,64898
2023-12-18,72353
2023-12-19,67497
2023-12-20,70809
2023-12-21,71973
2023-12-22,68336
2023-12-23,70665
2023-12-24,71703
2023-12-25,72156
2023-12-26,73034
2023-12-27,72341
2023-12-28,70312
2023-12-29,74399
2023-12-30,71869
2023-12-31,73602
2024-01-01,73998
2024-01-02,75393
2024-01-03,78637
2024-01-04,77736
2024-01-05,77422
2024-01-06,75746
2024-01-07,76351
2024-01-08,78150
2024-01-09,76622
2024-01-10,80301
2024-01-11,81187
2024-01-12,80645
2024-01-13,79970
2024-01-14,82835
2024-01-15,81115
2024-01-16,82624
2024-01-17,84158
