Date,Day,Djibo data,Djibo data_normalized,Mentao data,Mentao data_normalized,Dori data,Dori data_normalized,Damba data,Damba data_normalized,Fassala data,Fassala data_normalized,Niamey data,Niamey data_normalized,Abala data,Abala data_normalized,Mangaize data,Mangaize data_normalized,Ayorou data,Ayorou data_normalized,Tahoua data,Tahoua data_normalized,sum_of_values,sum_of_values_normalized
2022-09-01,0,2278,0,8506,1,7023,1,4362,1,9983,2,36316,6,21156,4,5536,1,11281,2,12481,2,118922,21
2022-09-02,1,2285,4,8508,15,7017,12,4382,8,10563,18,36346,64,21208,37,5557,10,11271,20,12025,21,119162,208
2022-09-03,2,2293,0,8511,0,7012,0,4402,0,11143,0,36377,0,21260,0,5579,0,11261,0,11570,0,119408,0
2022-09-04,3,2301,2,8514,8,7006,6,4422,4,11166,10,36408,33,21312,19,5601,5,11251,10,11682,11,119663,109
2022-09-05,4,2309,3,8517,13,7001,10,4442,7,11189,17,36439,54,21419,32,5623,8,11241,17,11801,17,119981,177
2022-09-06,5,2317,5,8520,19,7134,16,4462,10,11213,25,36470,81,21526,48,5645,13,11232,25,11861,26,120380,269
2022-09-07,6,2325,6,8611,24,7166,20,4402,12,11385,31,36501,100,21732,59,5667,15,11201,31,11921,33,120911,330
2022-09-08,7,2337,4,8618,16,7199,13,4446,8,11501,21,36536,68,21901,41,5692,11,11223,21,11981,22,121434,225
2022-09-09,8,2350,4,8626,15,7218,13,4490,8,11563,20,36572,65,21969,39,5717,10,11246,20,11683,21,121434,215
2022-09-10,9,2363,3,8634,12,7237,10,4534,6,11625,16,36607,50,22037,30,5742,8,11246,15,11386,15,121411,165
2022-09-11,10,2376,7,8673,25,7256,21,4578,13,11688,33,36643,105,22105,63,5768,17,11246,32,11089,32,121422,348
2022-09-12,11,2376,13,8673,46,7256,38,4571,24,11688,62,36643,194,22176,118,5768,31,11246,60,11089,59,121486,644
2022-09-13,12,2376,5,8673,17,7256,14,4565,9,11688,23,36643,71,22247,43,5768,11,11246,22,11089,21,121551,236
2022-09-14,13,2376,14,8673,51,7256,43,4559,27,11688,69,36643,216,22318,132,5768,34,11246,66,11089,65,121616,718
2022-09-15,14,2376,9,8673,31,7256,26,4559,16,11688,42,36643,131,22318,80,5768,21,11246,40,11089,40,121616,436
2022-09-16,15,2376,9,8673,33,7256,28,4559,17,11688,44,36643,139,22318,85,5768,22,11246,43,11089,42,121616,462
2022-09-17,16,2376,9,8673,32,7256,27,4559,17,11688,43,36643,135,22318,82,5768,21,11246,41,11089,41,121616,447
2022-09-18,17,2376,11,8673,39,7256,33,4559,21,11688,53,36643,166,22318,101,5768,26,11246,51,11089,50,121616,550
2022-09-19,18,2376,12,8673,44,7256,37,4559,23,11688,59,36643,186,22318,113,5768,29,11246,57,11089,56,121616,618
2022-09-20,19,2376,14,8673,52,7256,44,4559,28,11688,71,36643,221,22318,135,5768,35,11246,68,11089,67,121616,734
2022-09-21,20,2376,22,8673,81,7256,67,4559,42,11688,109,36643,341,22318,207,5768,54,11246,105,11089,103,121616,1130
2022-09-22,21,2376,17,8673,62,7256,52,4559,33,11688,84,36643,262,22318,159,5768,41,11246,80,11089,79,121616,869
2022-09-23,22,2376,26,8673,94,7256,79,4559,50,11688,127,36643,398,22318,243,5768,63,11246,122,11089,121,121616,1322
2022-09-24,23,2376,13,8673,47,7256,39,4559,25,11688,63,36643,198,22318,121,5768,31,11246,61,11089,60,121616,657
2022-09-25,24,2376,16,8673,58,7256,48,4559,30,11688,78,36643,243,22318,148,5768,38,11246,75,11089,74,121616,808
2022-09-26,25,2376,28,8673,103,7256,86,4559,54,11688,139,36643,434,22318,265,5768,68,11246,133,11089,131,121616,1442
2022-09-27,26,2376,27,8673,100,7256,83,4559,52,11688,134,36643,421,22318,256,5768,66,11246,129,11089,127,121616,1396
2022-09-28,27,2376,13,8673,47,7256,39,4559,25,11688,63,36643,199,22318,121,5768,31,11246,61,11089,60,121616,660
2022-09-29,28,2376,25,8673,91,7256,76,4559,48,11688,122,36643,384,22318,234,5768,60,11246,118,11089,116,121616,1274
2022-09-30,29,2376,27,8673,100,7256,83,4559,52,11688,134,36643,422,22318,257,5768,66,11246,129,11089,128,121616,1399
2022-10-01,30,2376,22,8673,80,7256,67,4559,42,11688,108,36643,339,22318,207,5768,53,11246,104,11089,103,121616,1127
2022-10-02,31,2376,28,8673,102,7256,85,4559,53,11688,137,36643,430,22318,262,5768,68,11246,132,11089,130,121616,1426
2022-10-03,32,2376,23,8673,85,7256,71,4559,45,11688,115,36643,361,22318,220,5768,57,11246,111,11089,109,121616,1197
2022-10-04,33,2376,27,8673,97,7256,81,4559,51,11688,131,36643,409,22318,249,5768,64,11246,126,11089,124,121616,1358
2022-10-05,34,2376,28,8673,102,7256,85,4559,53,11688,137,36643,429,22318,261,5768,68,11246,132,11089,130,121616,1424
2022-10-06,35,2376,35,8673,126,7256,105,4559,66,11688,170,36643,533,22318,324,5768,84,11246,163,11089,161,121616,1768
2022-10-07,36,2376,34,8673,126,7256,105,4559,66,11688,170,36643,532,22318,324,5768,84,11246,163,11089,161,121616,1765
2022-10-08,37,2376,29,8673,105,7256,88,4559,55,11688,142,36643,444,22318,270,5768,70,11246,136,11089,134,121616,1473
2022-10-09,38,2376,41,8673,151,7256,126,4559,79,11688,204,36643,639,22318,389,5768,101,11246,196,11089,193,121616,2120
2022-10-10,39,2376,46,8673,168,7256,141,4559,88,11688,227,36643,710,22318,433,5768,112,11246,218,11089,215,121616,2358
