DateTime,Refugees
2022-09-01,4
2022-09-02,37
2022-09-03,0
2022-09-04,19
2022-09-05,32
2022-09-06,48
2022-09-07,59
2022-09-08,41
2022-09-09,39
2022-09-10,30
2022-09-11,63
2022-09-12,118
2022-09-13,43
2022-09-14,132
2022-09-15,80
2022-09-16,85
2022-09-17,82
2022-09-18,101
2022-09-19,113
2022-09-20,135
2022-09-21,207
2022-09-22,159
2022-09-23,243
2022-09-24,121
2022-09-25,148
2022-09-26,265
2022-09-27,256
2022-09-28,121
2022-09-29,234
2022-09-30,257
2022-10-01,207
2022-10-02,262
2022-10-03,220
2022-10-04,249
2022-10-05,261
2022-10-06,324
2022-10-07,324
2022-10-08,270
2022-10-09,389
2022-10-10,433
2022-10-11,272
2022-10-12,291
2022-10-13,325
2022-10-14,368
2022-10-15,370
2022-10-16,380
2022-10-17,432
2022-10-18,449
2022-10-19,413
2022-10-20,475
2022-10-21,531
2022-10-22,586
2022-10-23,392
2022-10-24,517
2022-10-25,423
2022-10-26,500
2022-10-27,411
2022-10-28,512
2022-10-29,530
2022-10-30,524
2022-10-31,647
2022-11-01,584
2022-11-02,585
2022-11-03,646
2022-11-04,576
2022-11-05,598
2022-11-06,640
2022-11-07,621
2022-11-08,671
2022-11-09,707
2022-11-10,660
2022-11-11,693
2022-11-12,741
2022-11-13,850
2022-11-14,801
2022-11-15,815
2022-11-16,756
2022-11-17,703
2022-11-18,835
2022-11-19,812
2022-11-20,864
2022-11-21,863
2022-11-22,978
2022-11-23,821
2022-11-24,960
2022-11-25,1004
2022-11-26,927
2022-11-27,1020
2022-11-28,851
2022-11-29,944
2022-11-30,1014
2022-12-01,1015
2022-12-02,1058
2022-12-03,946
2022-12-04,1063
2022-12-05,1165
2022-12-06,1168
2022-12-07,1094
2022-12-08,1272
2022-12-09,1153
2022-12-10,1139
2022-12-11,1219
2022-12-12,1273
2022-12-13,1298
2022-12-14,1315
2022-12-15,1248
2022-12-16,1348
2022-12-17,1380
2022-12-18,1344
2022-12-19,1320
2022-12-20,1377
2022-12-21,1381
2022-12-22,1285
2022-12-23,1377
2022-12-24,1501
2022-12-25,1507
2022-12-26,1552
2022-12-27,1513
2022-12-28,1512
2022-12-29,1596
2022-12-30,1700
2022-12-31,1539
2023-01-01,1604
2023-01-02,1592
2023-01-03,1651
2023-01-04,1637
2023-01-05,1670
2023-01-06,1798
2023-01-07,1750
2023-01-08,1786
2023-01-09,1870
2023-01-10,1851
2023-01-11,1819
2023-01-12,1940
2023-01-13,1826
2023-01-14,2015
2023-01-15,2025
2023-01-16,1931
2023-01-17,2085
2023-01-18,1890
2023-01-19,1871
2023-01-20,2021
2023-01-21,2076
2023-01-22,2081
2023-01-23,2157
2023-01-24,2109
2023-01-25,2104
2023-01-26,2228
2023-01-27,2216
2023-01-28,2202
2023-01-29,2054
2023-01-30,2340
2023-01-31,2256
2023-02-01,2300
2023-02-02,2347
2023-02-03,2335
2023-02-04,2391
2023-02-05,2273
2023-02-06,2433
2023-02-07,2554
2023-02-08,2440
2023-02-09,2528
2023-02-10,2429
2023-02-11,2559
2023-02-12,2493
2023-02-13,2574
2023-02-14,2601
2023-02-15,2631
2023-02-16,2538
2023-02-17,2701
2023-02-18,2624
2023-02-19,2716
2023-02-20,2711
2023-02-21,2769
2023-02-22,2747
2023-02-23,2742
2023-02-24,2719
2023-02-25,2781
2023-02-26,2831
2023-02-27,2922
2023-02-28,2883
2023-03-01,2901
2023-03-02,2879
2023-03-03,2904
2023-03-04,2944
2023-03-05,2951
2023-03-06,2939
2023-03-07,2990
2023-03-08,2913
2023-03-09,2979
2023-03-10,2962
2023-03-11,3005
2023-03-12,3070
2023-03-13,3151
2023-03-14,3163
2023-03-15,3098
2023-03-16,3107
2023-03-17,3184
2023-03-18,3154
2023-03-19,3153
2023-03-20,3213
2023-03-21,3235
2023-03-22,3221
2023-03-23,3266
2023-03-24,3281
2023-03-25,3196
2023-03-26,3346
2023-03-27,3321
2023-03-28,3212
2023-03-29,3424
2023-03-30,3435
2023-03-31,3416
2023-04-01,3338
2023-04-02,3333
2023-04-03,3411
2023-04-04,3405
2023-04-05,3420
2023-04-06,3394
2023-04-07,3444
2023-04-08,3451
2023-04-09,3493
2023-04-10,3537
2023-04-11,3478
2023-04-12,3473
2023-04-13,3442
2023-04-14,3430
2023-04-15,3593
2023-04-16,3530
2023-04-17,3615
2023-04-18,3477
2023-04-19,3611
2023-04-20,3493
2023-04-21,3570
2023-04-22,3555
2023-04-23,3514
2023-04-24,3629
2023-04-25,3548
2023-04-26,3587
2023-04-27,3496
2023-04-28,3618
2023-04-29,3498
2023-04-30,3530
2023-05-01,3629
2023-05-02,3634
2023-05-03,3651
2023-05-04,3664
2023-05-05,3525
2023-05-06,3632
2023-05-07,3514
2023-05-08,3572
2023-05-09,3677
2023-05-10,3636
2023-05-11,3615
2023-05-12,3577
2023-05-13,3595
2023-05-14,3543
2023-05-15,3592
2023-05-16,3571
2023-05-17,3663
2023-05-18,3631
2023-05-19,3577
2023-05-20,3573
2023-05-21,3660
2023-05-22,3640
2023-05-23,3552
2023-05-24,3686
2023-05-25,3564
2023-05-26,3603
2023-05-27,3517
2023-05-28,3591
2023-05-29,3611
2023-05-30,3565
2023-05-31,3527
2023-06-01,3616
2023-06-02,3646
2023-06-03,3499
2023-06-04,3531
2023-06-05,3533
2023-06-06,3472
2023-06-07,3415
2023-06-08,3474
2023-06-09,3372
2023-06-10,3376
2023-06-11,3436
2023-06-12,3474
2023-06-13,3458
2023-06-14,3422
