DateTime,Refugees
2022-09-01,2
2022-09-02,20
2022-09-03,0
2022-09-04,10
2022-09-05,17
2022-09-06,25
2022-09-07,31
2022-09-08,21
2022-09-09,20
2022-09-10,15
2022-09-11,32
2022-09-12,60
2022-09-13,22
2022-09-14,66
2022-09-15,40
2022-09-16,43
2022-09-17,41
2022-09-18,51
2022-09-19,57
2022-09-20,68
2022-09-21,105
2022-09-22,80
2022-09-23,122
2022-09-24,61
2022-09-25,75
2022-09-26,133
2022-09-27,129
2022-09-28,61
2022-09-29,118
2022-09-30,129
2022-10-01,104
2022-10-02,132
2022-10-03,111
2022-10-04,126
2022-10-05,132
2022-10-06,163
2022-10-07,163
2022-10-08,136
2022-10-09,196
2022-10-10,218
2022-10-11,137
2022-10-12,147
2022-10-13,164
2022-10-14,185
2022-10-15,186
2022-10-16,192
2022-10-17,218
2022-10-18,226
2022-10-19,208
2022-10-20,239
2022-10-21,268
2022-10-22,295
2022-10-23,198
2022-10-24,260
2022-10-25,213
2022-10-26,252
2022-10-27,207
2022-10-28,258
2022-10-29,267
2022-10-30,264
2022-10-31,326
2022-11-01,294
2022-11-02,295
2022-11-03,326
2022-11-04,290
2022-11-05,302
2022-11-06,323
2022-11-07,313
2022-11-08,338
2022-11-09,356
2022-11-10,332
2022-11-11,349
2022-11-12,373
2022-11-13,428
2022-11-14,403
2022-11-15,411
2022-11-16,381
2022-11-17,354
2022-11-18,421
2022-11-19,409
2022-11-20,436
2022-11-21,435
2022-11-22,493
2022-11-23,414
2022-11-24,484
2022-11-25,506
2022-11-26,467
2022-11-27,514
2022-11-28,429
2022-11-29,475
2022-11-30,511
2022-12-01,512
2022-12-02,533
2022-12-03,476
2022-12-04,535
2022-12-05,587
2022-12-06,588
2022-12-07,551
2022-12-08,641
2022-12-09,581
2022-12-10,574
2022-12-11,614
2022-12-12,641
2022-12-13,654
2022-12-14,663
2022-12-15,629
2022-12-16,679
2022-12-17,695
2022-12-18,677
2022-12-19,665
2022-12-20,694
2022-12-21,696
2022-12-22,648
2022-12-23,694
2022-12-24,756
2022-12-25,759
2022-12-26,782
2022-12-27,762
2022-12-28,762
2022-12-29,804
2022-12-30,857
2022-12-31,775
2023-01-01,808
2023-01-02,802
2023-01-03,832
2023-01-04,825
2023-01-05,841
2023-01-06,906
2023-01-07,882
2023-01-08,900
2023-01-09,942
2023-01-10,933
2023-01-11,917
2023-01-12,978
2023-01-13,920
2023-01-14,1015
2023-01-15,1020
2023-01-16,973
2023-01-17,1051
2023-01-18,953
2023-01-19,943
2023-01-20,1018
2023-01-21,1046
2023-01-22,1049
2023-01-23,1087
2023-01-24,1063
2023-01-25,1060
2023-01-26,1123
2023-01-27,1117
2023-01-28,1110
2023-01-29,1035
2023-01-30,1179
2023-01-31,1137
2023-02-01,1159
2023-02-02,1183
2023-02-03,1177
2023-02-04,1205
2023-02-05,1145
2023-02-06,1226
2023-02-07,1287
2023-02-08,1230
2023-02-09,1274
2023-02-10,1224
2023-02-11,1290
2023-02-12,1256
2023-02-13,1297
2023-02-14,1311
2023-02-15,1326
2023-02-16,1279
2023-02-17,1361
2023-02-18,1322
2023-02-19,1368
2023-02-20,1366
2023-02-21,1395
2023-02-22,1384
2023-02-23,1382
2023-02-24,1370
2023-02-25,1401
2023-02-26,1426
2023-02-27,1472
2023-02-28,1453
2023-03-01,1462
2023-03-02,1451
2023-03-03,1464
2023-03-04,1484
2023-03-05,1487
2023-03-06,1481
2023-03-07,1506
2023-03-08,1468
2023-03-09,1501
2023-03-10,1492
2023-03-11,1514
2023-03-12,1547
2023-03-13,1588
2023-03-14,1594
2023-03-15,1561
2023-03-16,1566
2023-03-17,1604
2023-03-18,1589
2023-03-19,1589
2023-03-20,1619
2023-03-21,1630
2023-03-22,1623
2023-03-23,1646
2023-03-24,1653
2023-03-25,1610
2023-03-26,1686
2023-03-27,1674
2023-03-28,1619
2023-03-29,1725
2023-03-30,1731
2023-03-31,1721
2023-04-01,1682
2023-04-02,1679
2023-04-03,1719
2023-04-04,1716
2023-04-05,1723
2023-04-06,1710
2023-04-07,1736
2023-04-08,1739
2023-04-09,1760
2023-04-10,1783
2023-04-11,1753
2023-04-12,1750
2023-04-13,1734
2023-04-14,1729
2023-04-15,1811
2023-04-16,1779
2023-04-17,1822
2023-04-18,1752
2023-04-19,1820
2023-04-20,1760
2023-04-21,1799
2023-04-22,1791
2023-04-23,1771
2023-04-24,1829
2023-04-25,1788
2023-04-26,1807
2023-04-27,1762
2023-04-28,1823
2023-04-29,1762
2023-04-30,1779
2023-05-01,1829
2023-05-02,1831
2023-05-03,1840
2023-05-04,1846
2023-05-05,1776
2023-05-06,1830
2023-05-07,1771
2023-05-08,1800
2023-05-09,1853
2023-05-10,1832
2023-05-11,1822
2023-05-12,1802
2023-05-13,1811
2023-05-14,1785
2023-05-15,1810
2023-05-16,1799
2023-05-17,1846
2023-05-18,1830
2023-05-19,1802
2023-05-20,1800
2023-05-21,1844
2023-05-22,1834
2023-05-23,1790
2023-05-24,1857
2023-05-25,1796
2023-05-26,1816
2023-05-27,1772
2023-05-28,1809
2023-05-29,1820
2023-05-30,1796
2023-05-31,1777
2023-06-01,1822
2023-06-02,1837
2023-06-03,1763
2023-06-04,1779
2023-06-05,1780
2023-06-06,1749
2023-06-07,1721
2023-06-08,1750
2023-06-09,1699
2023-06-10,1701
2023-06-11,1732
2023-06-12,1751
2023-06-13,1742
2023-06-14,1724
2023-06-15,1719
2023-06-16,1734
2023-06-17,1722
2023-06-18,1762
2023-06-19,1715
2023-06-20,1708
2023-06-21,1676
2023-06-22,1679
2023-06-23,1630
2023-06-24,1643
2023-06-25,1652
2023-06-26,1728
2023-06-27,1667
2023-06-28,1677
2023-06-29,1621
2023-06-30,1605
2023-07-01,1583
2023-07-02,1606
2023-07-03,1583
2023-07-04,1585
2023-07-05,1595
2023-07-06,1608
2023-07-07,1569
2023-07-08,1674
2023-07-09,1573
2023-07-10,1534
2023-07-11,1523
2023-07-12,1541
2023-07-13,1562
2023-07-14,1527
2023-07-15,1536
2023-07-16,1484
2023-07-17,1512
2023-07-18,1555
2023-07-19,1582
2023-07-20,1478
2023-07-21,1489
2023-07-22,1476
2023-07-23,1490
2023-07-24,1414
2023-07-25,1395
2023-07-26,1502
2023-07-27,1456
2023-07-28,1448
2023-07-29,1389
2023-07-30,1451
2023-07-31,1382
2023-08-01,1382
2023-08-02,1387
2023-08-03,1412
2023-08-04,1352
2023-08-05,1330
2023-08-06,1321
2023-08-07,1315
2023-08-08,1336
2023-08-09,1262
2023-08-10,1326
2023-08-11,1238
2023-08-12,1330
2023-08-13,1306
2023-08-14,1278
2023-08-15,1323
2023-08-16,1292
2023-08-17,1241
2023-08-18,1204
2023-08-19,1217
2023-08-20,1219
2023-08-21,1198
2023-08-22,1194
2023-08-23,1210
2023-08-24,1172
2023-08-25,1213
2023-08-26,1220
2023-08-27,1146
2023-08-28,1135
2023-08-29,1193
2023-08-30,1096
2023-08-31,1136
2023-09-01,1140
2023-09-02,1090
2023-09-03,1128
2023-09-04,1124
2023-09-05,1039
2023-09-06,1047
2023-09-07,1101
2023-09-08,1077
2023-09-09,1031
2023-09-10,1025
2023-09-11,1018
2023-09-12,1068
2023-09-13,1080
2023-09-14,1026
2023-09-15,999
2023-09-16,1018
2023-09-17,1050
2023-09-18,1031
2023-09-19,1031
2023-09-20,1018
2023-09-21,1014
2023-09-22,974
2023-09-23,970
2023-09-24,969
2023-09-25,998
2023-09-26,921
2023-09-27,1006
2023-09-28,962
2023-09-29,917
2023-09-30,994
2023-10-01,977
2023-10-02,926
2023-10-03,961
2023-10-04,954
2023-10-05,883
2023-10-06,953
2023-10-07,890
2023-10-08,942
2023-10-09,961
2023-10-10,904
2023-10-11,921
2023-10-12,935
2023-10-13,975
2023-10-14,861
2023-10-15,906
2023-10-16,905
2023-10-17,898
2023-10-18,889
2023-10-19,884
2023-10-20,905
2023-10-21,902
2023-10-22,899
2023-10-23,923
2023-10-24,891
2023-10-25,898
2023-10-26,914
2023-10-27,937
2023-10-28,912
2023-10-29,807
2023-10-30,864
2023-10-31,871
2023-11-01,895
2023-11-02,885
2023-11-03,890
2023-11-04,872
2023-11-05,899
2023-11-06,916
2023-11-07,917
2023-11-08,865
2023-11-09,875
2023-11-10,883
2023-11-11,880
2023-11-12,900
2023-11-13,910
2023-11-14,906
2023-11-15,895
2023-11-16,872
2023-11-17,872
2023-11-18,868
2023-11-19,888
2023-11-20,936
2023-11-21,921
2023-11-22,912
2023-11-23,940
2023-11-24,919
2023-11-25,935
2023-11-26,905
2023-11-27,910
2023-11-28,923
2023-11-29,933
2023-11-30,951
2023-12-01,955
2023-12-02,956
2023-12-03,947
2023-12-04,963
2023-12-05,970
2023-12-06,954
2023-12-07,987
2023-12-08,957
2023-12-09,1061
2023-12-10,1011
2023-12-11,1008
2023-12-12,985
2023-12-13,1060
2023-12-14,1016
2023-12-15,1061
2023-12-16,998
2023-12-17,1076
2023-12-18,1064
2023-12-19,1039
2023-12-20,1058
2023-12-21,1050
2023-12-22,1050
2023-12-23,1066
2023-12-24,1107
2023-12-25,1082
2023-12-26,1085
2023-12-27,1147
2023-12-28,1044
2023-12-29,1147
2023-12-30,1186
2023-12-31,1111
2024-01-01,1177
2024-01-02,1170
2024-01-03,1186
2024-01-04,1190
2024-01-05,1172
2024-01-06,1126
2024-01-07,1155
2024-01-08,1189
2024-01-09,1170
2024-01-10,1231
2024-01-11,1217
2024-01-12,1234
2024-01-13,1247
