DateTime,Refugees
2022-09-01,1
2022-09-02,8
2022-09-03,0
2022-09-04,4
2022-09-05,7
2022-09-06,10
2022-09-07,12
2022-09-08,8
2022-09-09,8
2022-09-10,6
2022-09-11,13
2022-09-12,24
2022-09-13,9
2022-09-14,27
2022-09-15,16
2022-09-16,17
2022-09-17,17
2022-09-18,21
2022-09-19,23
2022-09-20,28
2022-09-21,42
2022-09-22,33
2022-09-23,50
2022-09-24,25
2022-09-25,30
2022-09-26,54
2022-09-27,52
2022-09-28,25
2022-09-29,48
2022-09-30,52
2022-10-01,42
2022-10-02,53
2022-10-03,45
2022-10-04,51
2022-10-05,53
2022-10-06,66
2022-10-07,66
2022-10-08,55
2022-10-09,79
2022-10-10,88
2022-10-11,56
2022-10-12,59
2022-10-13,66
2022-10-14,75
2022-10-15,76
2022-10-16,78
2022-10-17,88
2022-10-18,92
2022-10-19,84
2022-10-20,97
2022-10-21,109
2022-10-22,120
2022-10-23,80
2022-10-24,106
2022-10-25,86
2022-10-26,102
2022-10-27,84
2022-10-28,105
2022-10-29,108
2022-10-30,107
2022-10-31,132
2022-11-01,119
2022-11-02,120
2022-11-03,132
2022-11-04,118
2022-11-05,122
2022-11-06,131
2022-11-07,127
2022-11-08,137
2022-11-09,145
2022-11-10,135
2022-11-11,141
2022-11-12,151
2022-11-13,174
2022-11-14,164
2022-11-15,167
2022-11-16,154
2022-11-17,144
2022-11-18,171
2022-11-19,166
2022-11-20,177
2022-11-21,176
2022-11-22,200
2022-11-23,168
2022-11-24,196
2022-11-25,205
2022-11-26,189
2022-11-27,208
2022-11-28,174
2022-11-29,193
2022-11-30,207
2022-12-01,207
2022-12-02,216
2022-12-03,193
2022-12-04,217
2022-12-05,238
2022-12-06,238
2022-12-07,223
2022-12-08,260
2022-12-09,235
2022-12-10,233
2022-12-11,249
2022-12-12,260
2022-12-13,265
2022-12-14,269
2022-12-15,255
2022-12-16,275
2022-12-17,282
2022-12-18,275
2022-12-19,270
2022-12-20,281
2022-12-21,282
2022-12-22,263
2022-12-23,281
2022-12-24,307
2022-12-25,308
2022-12-26,317
2022-12-27,309
2022-12-28,309
2022-12-29,326
2022-12-30,347
2022-12-31,314
2023-01-01,328
2023-01-02,325
2023-01-03,337
2023-01-04,334
2023-01-05,341
2023-01-06,367
2023-01-07,358
2023-01-08,365
2023-01-09,382
