DateTime,Refugees
2022-09-01,0
2022-09-02,4
2022-09-03,0
2022-09-04,2
2022-09-05,3
2022-09-06,5
2022-09-07,6
2022-09-08,4
2022-09-09,4
2022-09-10,3
2022-09-11,7
2022-09-12,13
2022-09-13,5
2022-09-14,14
2022-09-15,9
2022-09-16,9
2022-09-17,9
2022-09-18,11
2022-09-19,12
2022-09-20,14
2022-09-21,22
2022-09-22,17
2022-09-23,26
2022-09-24,13
2022-09-25,16
2022-09-26,28
2022-09-27,27
2022-09-28,13
2022-09-29,25
2022-09-30,27
2022-10-01,22
2022-10-02,28
2022-10-03,23
2022-10-04,27
2022-10-05,28
2022-10-06,35
2022-10-07,34
2022-10-08,29
2022-10-09,41
2022-10-10,46
2022-10-11,29
2022-10-12,31
2022-10-13,35
2022-10-14,39
2022-10-15,39
2022-10-16,40
2022-10-17,46
2022-10-18,48
2022-10-19,44
2022-10-20,51
2022-10-21,57
2022-10-22,62
2022-10-23,42
2022-10-24,55
2022-10-25,45
2022-10-26,53
2022-10-27,44
2022-10-28,54
2022-10-29,56
2022-10-30,56
2022-10-31,69
2022-11-01,62
2022-11-02,62
2022-11-03,69
2022-11-04,61
2022-11-05,64
2022-11-06,68
2022-11-07,66
2022-11-08,71
2022-11-09,75
2022-11-10,70
2022-11-11,74
2022-11-12,79
2022-11-13,90
2022-11-14,85
2022-11-15,87
2022-11-16,80
2022-11-17,75
2022-11-18,89
2022-11-19,86
2022-11-20,92
2022-11-21,92
2022-11-22,104
2022-11-23,87
2022-11-24,102
2022-11-25,107
2022-11-26,99
2022-11-27,109
2022-11-28,91
2022-11-29,100
2022-11-30,108
2022-12-01,108
2022-12-02,113
2022-12-03,101
2022-12-04,113
2022-12-05,124
2022-12-06,124
2022-12-07,116
2022-12-08,135
2022-12-09,123
2022-12-10,121
2022-12-11,130
2022-12-12,136
2022-12-13,138
2022-12-14,140
2022-12-15,133
2022-12-16,144
2022-12-17,147
2022-12-18,143
2022-12-19,140
2022-12-20,147
2022-12-21,147
2022-12-22,137
2022-12-23,147
2022-12-24,160
2022-12-25,160
2022-12-26,165
2022-12-27,161
2022-12-28,161
2022-12-29,170
2022-12-30,181
2022-12-31,164
2023-01-01,171
2023-01-02,169
2023-01-03,176
2023-01-04,174
2023-01-05,178
2023-01-06,191
2023-01-07,186
2023-01-08,190
2023-01-09,199
2023-01-10,197
2023-01-11,194
2023-01-12,207
2023-01-13,194
2023-01-14,214
2023-01-15,216
2023-01-16,206
2023-01-17,222
2023-01-18,201
2023-01-19,199
2023-01-20,215
2023-01-21,221
2023-01-22,222
2023-01-23,230
2023-01-24,225
2023-01-25,224
2023-01-26,237
2023-01-27,236
2023-01-28,234
2023-01-29,219
2023-01-30,249
2023-01-31,240
2023-02-01,245
2023-02-02,250
2023-02-03,249
2023-02-04,255
2023-02-05,242
2023-02-06,259
2023-02-07,272
2023-02-08,260
2023-02-09,269
2023-02-10,259
2023-02-11,272
2023-02-12,265
2023-02-13,274
2023-02-14,277
2023-02-15,280
2023-02-16,270
2023-02-17,288
2023-02-18,279
2023-02-19,289
2023-02-20,289
2023-02-21,295
2023-02-22,292
2023-02-23,292
2023-02-24,289
2023-02-25,296
2023-02-26,301
2023-02-27,311
2023-02-28,307
2023-03-01,309
2023-03-02,306
2023-03-03,309
2023-03-04,313
2023-03-05,314
2023-03-06,313
2023-03-07,318
2023-03-08,310
2023-03-09,317
2023-03-10,315
2023-03-11,320
2023-03-12,327
2023-03-13,336
2023-03-14,337
2023-03-15,330
2023-03-16,331
2023-03-17,339
2023-03-18,336
2023-03-19,336
2023-03-20,342
2023-03-21,344
2023-03-22,343
2023-03-23,348
2023-03-24,349
2023-03-25,340
2023-03-26,356
2023-03-27,354
2023-03-28,342
2023-03-29,364
2023-03-30,366
2023-03-31,364
2023-04-01,355
2023-04-02,355
2023-04-03,363
2023-04-04,363
2023-04-05,364
2023-04-06,361
2023-04-07,367
2023-04-08,367
2023-04-09,372
2023-04-10,377
2023-04-11,370
2023-04-12,370
2023-04-13,366
2023-04-14,365
2023-04-15,383
2023-04-16,376
