DateTime,Refugees
2022-09-01,1
2022-09-02,12
2022-09-03,0
2022-09-04,6
2022-09-05,10
2022-09-06,16
2022-09-07,20
2022-09-08,13
2022-09-09,13
2022-09-10,10
2022-09-11,21
2022-09-12,38
2022-09-13,14
2022-09-14,43
2022-09-15,26
2022-09-16,28
2022-09-17,27
2022-09-18,33
2022-09-19,37
2022-09-20,44
2022-09-21,67
2022-09-22,52
2022-09-23,79
2022-09-24,39
2022-09-25,48
2022-09-26,86
2022-09-27,83
2022-09-28,39
2022-09-29,76
2022-09-30,83
2022-10-01,67
2022-10-02,85
2022-10-03,71
2022-10-04,81
2022-10-05,85
2022-10-06,105
2022-10-07,105
2022-10-08,88
2022-10-09,126
2022-10-10,141
2022-10-11,89
2022-10-12,95
2022-10-13,106
2022-10-14,119
2022-10-15,120
2022-10-16,124
2022-10-17,140
2022-10-18,146
2022-10-19,134
2022-10-20,154
2022-10-21,173
2022-10-22,190
2022-10-23,127
2022-10-24,168
2022-10-25,138
2022-10-26,162
2022-10-27,134
2022-10-28,166
2022-10-29,172
2022-10-30,170
2022-10-31,210
2022-11-01,190
2022-11-02,190
2022-11-03,210
2022-11-04,187
2022-11-05,195
2022-11-06,208
2022-11-07,202
2022-11-08,218
2022-11-09,230
2022-11-10,214
2022-11-11,225
2022-11-12,241
2022-11-13,276
2022-11-14,260
2022-11-15,265
2022-11-16,246
2022-11-17,228
2022-11-18,271
2022-11-19,264
2022-11-20,281
2022-11-21,281
2022-11-22,318
2022-11-23,267
2022-11-24,312
2022-11-25,326
2022-11-26,301
2022-11-27,332
2022-11-28,277
2022-11-29,307
2022-11-30,330
2022-12-01,330
2022-12-02,344
2022-12-03,307
2022-12-04,345
2022-12-05,379
2022-12-06,380
2022-12-07,356
2022-12-08,413
2022-12-09,375
2022-12-10,370
2022-12-11,396
2022-12-12,414
2022-12-13,422
2022-12-14,428
2022-12-15,406
2022-12-16,438
2022-12-17,449
2022-12-18,437
2022-12-19,429
2022-12-20,448
2022-12-21,449
2022-12-22,418
2022-12-23,448
2022-12-24,488
2022-12-25,490
2022-12-26,505
2022-12-27,492
2022-12-28,491
2022-12-29,519
2022-12-30,553
2022-12-31,500
2023-01-01,522
2023-01-02,518
2023-01-03,537
2023-01-04,532
2023-01-05,543
2023-01-06,584
2023-01-07,569
2023-01-08,581
2023-01-09,608
2023-01-10,602
2023-01-11,591
2023-01-12,631
2023-01-13,594
2023-01-14,655
2023-01-15,658
2023-01-16,628
2023-01-17,678
2023-01-18,615
2023-01-19,608
2023-01-20,657
2023-01-21,675
2023-01-22,677
2023-01-23,701
2023-01-24,686
2023-01-25,684
2023-01-26,724
2023-01-27,720
2023-01-28,716
2023-01-29,668
2023-01-30,761
2023-01-31,734
2023-02-01,748
2023-02-02,763
2023-02-03,759
2023-02-04,777
2023-02-05,739
2023-02-06,791
2023-02-07,830
2023-02-08,793
2023-02-09,822
2023-02-10,790
2023-02-11,832
2023-02-12,810
2023-02-13,837
2023-02-14,846
2023-02-15,855
2023-02-16,825
2023-02-17,878
2023-02-18,853
2023-02-19,883
2023-02-20,881
2023-02-21,900
2023-02-22,893
2023-02-23,892
2023-02-24,884
2023-02-25,904
2023-02-26,920
2023-02-27,950
2023-02-28,937
2023-03-01,943
2023-03-02,936
2023-03-03,944
2023-03-04,957
2023-03-05,960
2023-03-06,956
2023-03-07,972
2023-03-08,947
2023-03-09,968
2023-03-10,963
2023-03-11,977
2023-03-12,998
2023-03-13,1025
2023-03-14,1028
2023-03-15,1007
2023-03-16,1010
2023-03-17,1035
2023-03-18,1026
2023-03-19,1025
2023-03-20,1045
2023-03-21,1052
2023-03-22,1047
2023-03-23,1062
2023-03-24,1067
2023-03-25,1039
2023-03-26,1088
2023-03-27,1080
2023-03-28,1044
2023-03-29,1113
2023-03-30,1117
2023-03-31,1111
2023-04-01,1085
2023-04-02,1084
2023-04-03,1109
2023-04-04,1107
2023-04-05,1112
2023-04-06,1103
2023-04-07,1120
2023-04-08,1122
2023-04-09,1136
2023-04-10,1150
2023-04-11,1131
2023-04-12,1129
2023-04-13,1119
2023-04-14,1115
2023-04-15,1168
2023-04-16,1148
2023-04-17,1175
2023-04-18,1130
2023-04-19,1174
2023-04-20,1136
2023-04-21,1161
2023-04-22,1156
2023-04-23,1142
2023-04-24,1180
2023-04-25,1153
2023-04-26,1166
2023-04-27,1137
2023-04-28,1176
2023-04-29,1137
2023-04-30,1148
2023-05-01,1180
2023-05-02,1181
2023-05-03,1187
2023-05-04,1191
2023-05-05,1146
2023-05-06,1181
2023-05-07,1142
2023-05-08,1161
2023-05-09,1196
2023-05-10,1182
2023-05-11,1175
2023-05-12,1163
2023-05-13,1169
2023-05-14,1152
2023-05-15,1168
2023-05-16,1161
2023-05-17,1191
2023-05-18,1181
2023-05-19,1163
2023-05-20,1161
2023-05-21,1190
2023-05-22,1183
2023-05-23,1155
2023-05-24,1198
2023-05-25,1159
2023-05-26,1171
2023-05-27,1143
2023-05-28,1167
2023-05-29,1174
2023-05-30,1159
2023-05-31,1147
2023-06-01,1176
2023-06-02,1185
2023-06-03,1138
2023-06-04,1148
2023-06-05,1149
2023-06-06,1129
2023-06-07,1110
2023-06-08,1129
2023-06-09,1096
2023-06-10,1098
2023-06-11,1117
2023-06-12,1130
2023-06-13,1124
2023-06-14,1113
2023-06-15,1109
2023-06-16,1119
2023-06-17,1111
2023-06-18,1137
2023-06-19,1106
2023-06-20,1102
2023-06-21,1081
2023-06-22,1083
2023-06-23,1052
2023-06-24,1060
2023-06-25,1066
2023-06-26,1115
2023-06-27,1076
2023-06-28,1082
2023-06-29,1046
2023-06-30,1035
2023-07-01,1022
2023-07-02,1036
2023-07-03,1021
2023-07-04,1022
2023-07-05,1029
2023-07-06,1038
2023-07-07,1013
2023-07-08,1080
2023-07-09,1015
2023-07-10,990
2023-07-11,983
2023-07-12,994
2023-07-13,1008
2023-07-14,985
2023-07-15,991
2023-07-16,957
2023-07-17,975
2023-07-18,1004
2023-07-19,1020
2023-07-20,954
2023-07-21,961
2023-07-22,952
2023-07-23,962
2023-07-24,912
2023-07-25,900
2023-07-26,969
2023-07-27,939
2023-07-28,934
2023-07-29,896
2023-07-30,936
2023-07-31,892
2023-08-01,892
2023-08-02,895
2023-08-03,911
2023-08-04,872
2023-08-05,858
2023-08-06,852
2023-08-07,849
2023-08-08,862
2023-08-09,814
2023-08-10,856
2023-08-11,799
2023-08-12,858
2023-08-13,843
2023-08-14,825
2023-08-15,854
2023-08-16,833
2023-08-17,801
2023-08-18,777
2023-08-19,785
2023-08-20,787
2023-08-21,773
2023-08-22,770
2023-08-23,781
2023-08-24,756
2023-08-25,782
2023-08-26,787
2023-08-27,740
2023-08-28,732
2023-08-29,770
2023-08-30,707
2023-08-31,733
2023-09-01,736
2023-09-02,703
2023-09-03,728
2023-09-04,725
2023-09-05,670
2023-09-06,676
2023-09-07,710
2023-09-08,695
2023-09-09,665
2023-09-10,662
2023-09-11,657
2023-09-12,689
2023-09-13,697
2023-09-14,662
2023-09-15,644
2023-09-16,657
2023-09-17,678
2023-09-18,665
2023-09-19,665
2023-09-20,657
2023-09-21,654
2023-09-22,628
2023-09-23,626
2023-09-24,625
2023-09-25,644
2023-09-26,595
2023-09-27,649
2023-09-28,621
2023-09-29,592
2023-09-30,641
2023-10-01,631
2023-10-02,597
2023-10-03,620
2023-10-04,616
2023-10-05,570
2023-10-06,615
2023-10-07,574
2023-10-08,608
2023-10-09,620
2023-10-10,583
2023-10-11,594
2023-10-12,603
2023-10-13,629
2023-10-14,555
2023-10-15,585
2023-10-16,584
2023-10-17,579
2023-10-18,574
2023-10-19,570
2023-10-20,584
2023-10-21,582
2023-10-22,580
2023-10-23,595
2023-10-24,575
2023-10-25,579
2023-10-26,590
