DateTime,Refugees
2022-09-01,2
2022-09-02,18
2022-09-03,0
2022-09-04,10
2022-09-05,17
2022-09-06,25
2022-09-07,31
2022-09-08,21
2022-09-09,20
2022-09-10,16
2022-09-11,33
2022-09-12,62
2022-09-13,23
2022-09-14,69
2022-09-15,42
2022-09-16,44
2022-09-17,43
2022-09-18,53
2022-09-19,59
2022-09-20,71
2022-09-21,109
2022-09-22,84
2022-09-23,127
2022-09-24,63
2022-09-25,78
2022-09-26,139
2022-09-27,134
2022-09-28,63
2022-09-29,122
2022-09-30,134
2022-10-01,108
2022-10-02,137
2022-10-03,115
2022-10-04,131
2022-10-05,137
2022-10-06,170
2022-10-07,170
2022-10-08,142
2022-10-09,204
2022-10-10,227
2022-10-11,143
2022-10-12,152
2022-10-13,170
2022-10-14,192
2022-10-15,194
2022-10-16,199
2022-10-17,226
2022-10-18,235
2022-10-19,216
2022-10-20,249
2022-10-21,278
2022-10-22,307
2022-10-23,205
2022-10-24,271
2022-10-25,222
2022-10-26,262
2022-10-27,215
2022-10-28,268
2022-10-29,277
2022-10-30,274
2022-10-31,339
2022-11-01,306
2022-11-02,307
2022-11-03,338
2022-11-04,302
2022-11-05,313
2022-11-06,335
2022-11-07,325
2022-11-08,352
2022-11-09,371
2022-11-10,345
2022-11-11,363
2022-11-12,388
2022-11-13,445
2022-11-14,419
2022-11-15,427
2022-11-16,396
2022-11-17,368
2022-11-18,437
2022-11-19,425
2022-11-20,453
2022-11-21,452
2022-11-22,512
2022-11-23,430
2022-11-24,503
2022-11-25,526
2022-11-26,485
2022-11-27,534
2022-11-28,445
2022-11-29,494
2022-11-30,531
2022-12-01,532
2022-12-02,554
2022-12-03,495
2022-12-04,556
2022-12-05,610
2022-12-06,611
2022-12-07,573
2022-12-08,666
2022-12-09,604
2022-12-10,596
2022-12-11,639
2022-12-12,667
2022-12-13,680
2022-12-14,689
2022-12-15,653
2022-12-16,706
2022-12-17,723
2022-12-18,704
2022-12-19,691
2022-12-20,721
2022-12-21,723
2022-12-22,673
2022-12-23,721
2022-12-24,786
2022-12-25,789
2022-12-26,813
2022-12-27,792
2022-12-28,792
2022-12-29,836
2022-12-30,890
2022-12-31,806
2023-01-01,840
2023-01-02,834
2023-01-03,865
2023-01-04,857
2023-01-05,874
2023-01-06,941
2023-01-07,917
2023-01-08,935
2023-01-09,979
2023-01-10,969
2023-01-11,953
2023-01-12,1016
2023-01-13,956
2023-01-14,1055
2023-01-15,1061
2023-01-16,1011
2023-01-17,1092
2023-01-18,990
2023-01-19,980
2023-01-20,1058
2023-01-21,1087
2023-01-22,1090
2023-01-23,1130
2023-01-24,1104
2023-01-25,1102
2023-01-26,1167
2023-01-27,1160
2023-01-28,1153
2023-01-29,1076
2023-01-30,1226
2023-01-31,1182
2023-02-01,1205
2023-02-02,1229
2023-02-03,1223
2023-02-04,1252
2023-02-05,1190
2023-02-06,1274
2023-02-07,1338
2023-02-08,1278
2023-02-09,1324
2023-02-10,1272
2023-02-11,1340
2023-02-12,1305
2023-02-13,1348
2023-02-14,1362
2023-02-15,1378
2023-02-16,1329
2023-02-17,1414
2023-02-18,1374
2023-02-19,1422
2023-02-20,1420
2023-02-21,1450
2023-02-22,1439
2023-02-23,1436
2023-02-24,1424
2023-02-25,1457
2023-02-26,1482
2023-02-27,1530
2023-02-28,1510
2023-03-01,1519
2023-03-02,1508
2023-03-03,1521
2023-03-04,1542
2023-03-05,1546
2023-03-06,1539
2023-03-07,1566
2023-03-08,1525
2023-03-09,1560
2023-03-10,1551
2023-03-11,1574
2023-03-12,1608
2023-03-13,1650
2023-03-14,1656
2023-03-15,1623
2023-03-16,1627
2023-03-17,1667
2023-03-18,1652
2023-03-19,1651
2023-03-20,1683
2023-03-21,1694
2023-03-22,1687
2023-03-23,1710
2023-03-24,1718
2023-03-25,1674
2023-03-26,1752
2023-03-27,1739
2023-03-28,1682
2023-03-29,1793
2023-03-30,1799
2023-03-31,1789
2023-04-01,1748
2023-04-02,1745
2023-04-03,1786
2023-04-04,1783
2023-04-05,1791
2023-04-06,1777
2023-04-07,1804
2023-04-08,1807
2023-04-09,1829
2023-04-10,1853
2023-04-11,1822
2023-04-12,1819
2023-04-13,1803
2023-04-14,1797
2023-04-15,1882
2023-04-16,1849
2023-04-17,1893
2023-04-18,1821
2023-04-19,1891
2023-04-20,1829
2023-04-21,1870
2023-04-22,1862
2023-04-23,1840
2023-04-24,1900
2023-04-25,1858
2023-04-26,1878
2023-04-27,1831
2023-04-28,1895
2023-04-29,1832
2023-04-30,1849
2023-05-01,1901
2023-05-02,1903
2023-05-03,1912
2023-05-04,1919
2023-05-05,1846
2023-05-06,1902
2023-05-07,1840
2023-05-08,1871
2023-05-09,1926
2023-05-10,1904
2023-05-11,1893
2023-05-12,1873
2023-05-13,1883
2023-05-14,1855
2023-05-15,1881
2023-05-16,1870
2023-05-17,1918
2023-05-18,1902
2023-05-19,1873
2023-05-20,1871
2023-05-21,1917
2023-05-22,1906
2023-05-23,1860
2023-05-24,1930
2023-05-25,1866
2023-05-26,1887
2023-05-27,1842
2023-05-28,1880
2023-05-29,1891
2023-05-30,1867
2023-05-31,1847
2023-06-01,1894
2023-06-02,1910
2023-06-03,1832
2023-06-04,1849
2023-06-05,1850
2023-06-06,1818
2023-06-07,1788
2023-06-08,1819
2023-06-09,1766
2023-06-10,1768
2023-06-11,1800
2023-06-12,1819
2023-06-13,1811
2023-06-14,1792
2023-06-15,1787
2023-06-16,1802
2023-06-17,1789
2023-06-18,1831
2023-06-19,1782
2023-06-20,1775
2023-06-21,1742
2023-06-22,1745
2023-06-23,1694
2023-06-24,1707
2023-06-25,1717
2023-06-26,1796
2023-06-27,1733
2023-06-28,1743
2023-06-29,1684
2023-06-30,1668
2023-07-01,1646
2023-07-02,1669
2023-07-03,1645
2023-07-04,1647
2023-07-05,1658
2023-07-06,1672
2023-07-07,1631
2023-07-08,1740
2023-07-09,1635
2023-07-10,1594
2023-07-11,1583
2023-07-12,1601
2023-07-13,1623
2023-07-14,1587
2023-07-15,1596
2023-07-16,1542
2023-07-17,1571
2023-07-18,1617
2023-07-19,1644
2023-07-20,1536
2023-07-21,1548
2023-07-22,1534
2023-07-23,1549
2023-07-24,1470
2023-07-25,1450
2023-07-26,1561
2023-07-27,1513
2023-07-28,1505
2023-07-29,1444
2023-07-30,1508
2023-07-31,1437
2023-08-01,1436
2023-08-02,1441
2023-08-03,1468
2023-08-04,1405
2023-08-05,1383
2023-08-06,1373
2023-08-07,1367
2023-08-08,1389
2023-08-09,1312
2023-08-10,1378
2023-08-11,1287
2023-08-12,1382
2023-08-13,1357
2023-08-14,1328
2023-08-15,1375
2023-08-16,1342
2023-08-17,1290
2023-08-18,1252
2023-08-19,1264
2023-08-20,1267
2023-08-21,1245
2023-08-22,1241
2023-08-23,1258
2023-08-24,1218
2023-08-25,1260
2023-08-26,1268
2023-08-27,1191
2023-08-28,1180
2023-08-29,1240
2023-08-30,1140
2023-08-31,1180
2023-09-01,1185
2023-09-02,1132
2023-09-03,1172
2023-09-04,1168
2023-09-05,1080
2023-09-06,1088
2023-09-07,1144
2023-09-08,1119
2023-09-09,1071
2023-09-10,1066
2023-09-11,1058
2023-09-12,1110
2023-09-13,1122
2023-09-14,1067
2023-09-15,1038
2023-09-16,1058
2023-09-17,1092
2023-09-18,1072
2023-09-19,1072
2023-09-20,1058
2023-09-21,1054
2023-09-22,1012
2023-09-23,1008
2023-09-24,1007
2023-09-25,1037
2023-09-26,958
2023-09-27,1046
2023-09-28,1000
2023-09-29,954
2023-09-30,1033
