DateTime,Refugees
2022-09-01,1
2022-09-02,10
2022-09-03,0
2022-09-04,5
2022-09-05,8
2022-09-06,13
2022-09-07,15
2022-09-08,11
2022-09-09,10
2022-09-10,8
2022-09-11,17
2022-09-12,31
2022-09-13,11
2022-09-14,34
2022-09-15,21
2022-09-16,22
2022-09-17,21
2022-09-18,26
2022-09-19,29
2022-09-20,35
2022-09-21,54
2022-09-22,41
2022-09-23,63
2022-09-24,31
2022-09-25,38
2022-09-26,68
2022-09-27,66
2022-09-28,31
2022-09-29,60
2022-09-30,66
2022-10-01,53
2022-10-02,68
2022-10-03,57
2022-10-04,64
2022-10-05,68
2022-10-06,84
2022-10-07,84
2022-10-08,70
2022-10-09,101
2022-10-10,112
2022-10-11,70
2022-10-12,75
2022-10-13,84
2022-10-14,95
2022-10-15,96
2022-10-16,98
2022-10-17,112
2022-10-18,116
2022-10-19,107
2022-10-20,123
2022-10-21,137
2022-10-22,151
2022-10-23,101
2022-10-24,134
2022-10-25,109
2022-10-26,129
2022-10-27,106
2022-10-28,132
2022-10-29,137
2022-10-30,135
2022-10-31,167
2022-11-01,151
2022-11-02,151
2022-11-03,167
2022-11-04,149
2022-11-05,155
2022-11-06,165
2022-11-07,160
2022-11-08,174
2022-11-09,183
2022-11-10,170
2022-11-11,179
2022-11-12,191
2022-11-13,220
2022-11-14,207
2022-11-15,211
2022-11-16,195
2022-11-17,182
2022-11-18,216
2022-11-19,210
2022-11-20,223
2022-11-21,223
2022-11-22,253
2022-11-23,212
2022-11-24,248
2022-11-25,259
2022-11-26,239
2022-11-27,264
2022-11-28,220
2022-11-29,244
2022-11-30,262
2022-12-01,262
2022-12-02,273
2022-12-03,244
2022-12-04,275
2022-12-05,301
2022-12-06,302
2022-12-07,283
2022-12-08,329
2022-12-09,298
2022-12-10,294
2022-12-11,315
2022-12-12,329
2022-12-13,335
2022-12-14,340
2022-12-15,322
2022-12-16,348
2022-12-17,357
2022-12-18,347
2022-12-19,341
2022-12-20,356
2022-12-21,357
2022-12-22,332
2022-12-23,356
2022-12-24,388
2022-12-25,389
2022-12-26,401
2022-12-27,391
2022-12-28,391
2022-12-29,412
2022-12-30,439
2022-12-31,398
2023-01-01,415
2023-01-02,411
2023-01-03,427
2023-01-04,423
2023-01-05,431
2023-01-06,465
2023-01-07,452
2023-01-08,462
2023-01-09,483
2023-01-10,478
2023-01-11,470
2023-01-12,501
2023-01-13,472
2023-01-14,521
2023-01-15,523
2023-01-16,499
2023-01-17,539
2023-01-18,489
2023-01-19,484
2023-01-20,522
2023-01-21,537
2023-01-22,538
2023-01-23,558
2023-01-24,545
2023-01-25,544
2023-01-26,576
2023-01-27,573
2023-01-28,569
2023-01-29,531
2023-01-30,605
2023-01-31,583
2023-02-01,594
2023-02-02,607
2023-02-03,603
2023-02-04,618
2023-02-05,587
2023-02-06,629
2023-02-07,660
2023-02-08,631
2023-02-09,653
2023-02-10,628
2023-02-11,661
2023-02-12,644
2023-02-13,665
2023-02-14,672
2023-02-15,680
2023-02-16,656
2023-02-17,698
2023-02-18,678
2023-02-19,702
2023-02-20,701
2023-02-21,716
2023-02-22,710
2023-02-23,709
2023-02-24,703
2023-02-25,719
2023-02-26,732
2023-02-27,755
2023-02-28,745
2023-03-01,750
2023-03-02,744
2023-03-03,751
2023-03-04,761
2023-03-05,763
2023-03-06,760
2023-03-07,773
2023-03-08,753
2023-03-09,770
2023-03-10,765
2023-03-11,777
2023-03-12,794
2023-03-13,814
2023-03-14,817
2023-03-15,801
2023-03-16,803
2023-03-17,823
2023-03-18,815
2023-03-19,815
2023-03-20,830
2023-03-21,836
2023-03-22,833
2023-03-23,844
2023-03-24,848
2023-03-25,826
2023-03-26,865
2023-03-27,858
2023-03-28,830
2023-03-29,885
2023-03-30,888
2023-03-31,883
2023-04-01,863
2023-04-02,861
2023-04-03,882
2023-04-04,880
2023-04-05,884
2023-04-06,877
2023-04-07,890
2023-04-08,892
2023-04-09,903
2023-04-10,914
2023-04-11,899
2023-04-12,898
2023-04-13,890
2023-04-14,887
2023-04-15,929
2023-04-16,912
2023-04-17,934
2023-04-18,899
2023-04-19,933
2023-04-20,903
2023-04-21,923
2023-04-22,919
2023-04-23,908
2023-04-24,938
2023-04-25,917
2023-04-26,927
2023-04-27,904
2023-04-28,935
2023-04-29,904
2023-04-30,912
2023-05-01,938
2023-05-02,939
2023-05-03,944
2023-05-04,947
2023-05-05,911
2023-05-06,939
2023-05-07,908
2023-05-08,923
2023-05-09,950
2023-05-10,940
2023-05-11,934
2023-05-12,924
2023-05-13,929
2023-05-14,916
2023-05-15,928
2023-05-16,923
2023-05-17,947
2023-05-18,939
2023-05-19,924
2023-05-20,923
2023-05-21,946
2023-05-22,941
2023-05-23,918
2023-05-24,953
2023-05-25,921
2023-05-26,931
2023-05-27,909
2023-05-28,928
2023-05-29,933
2023-05-30,921
2023-05-31,911
2023-06-01,935
2023-06-02,942
2023-06-03,904
2023-06-04,913
2023-06-05,913
2023-06-06,897
2023-06-07,883
2023-06-08,898
2023-06-09,871
2023-06-10,873
2023-06-11,888
2023-06-12,898
2023-06-13,894
2023-06-14,884
2023-06-15,882
2023-06-16,889
2023-06-17,883
2023-06-18,904
2023-06-19,880
2023-06-20,876
2023-06-21,860
2023-06-22,861
2023-06-23,836
2023-06-24,843
2023-06-25,847
2023-06-26,886
2023-06-27,855
2023-06-28,860
2023-06-29,831
2023-06-30,823
2023-07-01,812
2023-07-02,824
2023-07-03,812
2023-07-04,813
2023-07-05,818
2023-07-06,825
2023-07-07,805
2023-07-08,859
2023-07-09,807
2023-07-10,787
2023-07-11,781
2023-07-12,790
2023-07-13,801
2023-07-14,783
2023-07-15,788
2023-07-16,761
2023-07-17,775
2023-07-18,798
2023-07-19,811
2023-07-20,758
2023-07-21,764
2023-07-22,757
2023-07-23,764
2023-07-24,725
2023-07-25,716
