DateTime,Refugees
2022-09-01,1
2022-09-02,15
2022-09-03,0
2022-09-04,8
2022-09-05,13
2022-09-06,19
2022-09-07,24
2022-09-08,16
2022-09-09,15
2022-09-10,12
2022-09-11,25
2022-09-12,46
2022-09-13,17
2022-09-14,51
2022-09-15,31
2022-09-16,33
2022-09-17,32
2022-09-18,39
2022-09-19,44
2022-09-20,52
2022-09-21,81
2022-09-22,62
2022-09-23,94
2022-09-24,47
2022-09-25,58
2022-09-26,103
2022-09-27,100
2022-09-28,47
2022-09-29,91
2022-09-30,100
2022-10-01,80
2022-10-02,102
2022-10-03,85
2022-10-04,97
2022-10-05,102
2022-10-06,126
2022-10-07,126
2022-10-08,105
2022-10-09,151
2022-10-10,168
2022-10-11,106
2022-10-12,113
2022-10-13,126
2022-10-14,143
2022-10-15,144
2022-10-16,148
2022-10-17,168
2022-10-18,175
2022-10-19,160
2022-10-20,185
2022-10-21,206
2022-10-22,228
2022-10-23,152
2022-10-24,201
2022-10-25,164
2022-10-26,194
2022-10-27,160
2022-10-28,199
2022-10-29,206
2022-10-30,204
2022-10-31,251
2022-11-01,227
2022-11-02,227
2022-11-03,251
2022-11-04,224
2022-11-05,233
2022-11-06,249
2022-11-07,241
2022-11-08,261
2022-11-09,275
2022-11-10,256
2022-11-11,269
2022-11-12,288
2022-11-13,330
2022-11-14,311
2022-11-15,317
2022-11-16,294
2022-11-17,273
2022-11-18,324
2022-11-19,316
2022-11-20,336
2022-11-21,335
2022-11-22,380
2022-11-23,319
2022-11-24,373
2022-11-25,390
2022-11-26,360
2022-11-27,397
2022-11-28,331
2022-11-29,367
2022-11-30,394
2022-12-01,395
2022-12-02,411
2022-12-03,367
2022-12-04,413
2022-12-05,453
2022-12-06,454
2022-12-07,425
2022-12-08,494
2022-12-09,448
2022-12-10,443
2022-12-11,474
2022-12-12,495
2022-12-13,504
2022-12-14,511
2022-12-15,485
2022-12-16,524
2022-12-17,536
2022-12-18,522
2022-12-19,513
2022-12-20,535
2022-12-21,537
2022-12-22,500
2022-12-23,535
2022-12-24,583
2022-12-25,586
2022-12-26,603
2022-12-27,588
2022-12-28,587
2022-12-29,620
2022-12-30,661
2022-12-31,598
2023-01-01,623
2023-01-02,619
2023-01-03,642
2023-01-04,636
2023-01-05,649
2023-01-06,699
2023-01-07,680
2023-01-08,694
2023-01-09,727
2023-01-10,719
2023-01-11,707
2023-01-12,754
2023-01-13,710
2023-01-14,783
2023-01-15,787
2023-01-16,750
2023-01-17,810
2023-01-18,735
2023-01-19,727
2023-01-20,785
2023-01-21,807
2023-01-22,809
2023-01-23,838
2023-01-24,820
2023-01-25,818
2023-01-26,866
2023-01-27,861
2023-01-28,856
2023-01-29,798
2023-01-30,909
2023-01-31,877
2023-02-01,894
2023-02-02,912
2023-02-03,907
2023-02-04,929
2023-02-05,883
2023-02-06,945
2023-02-07,993
2023-02-08,948
2023-02-09,983
2023-02-10,944
2023-02-11,995
2023-02-12,969
2023-02-13,1000
2023-02-14,1011
2023-02-15,1022
2023-02-16,986
2023-02-17,1050
2023-02-18,1020
2023-02-19,1055
2023-02-20,1053
2023-02-21,1076
2023-02-22,1067
2023-02-23,1066
2023-02-24,1057
2023-02-25,1081
2023-02-26,1100
2023-02-27,1135
2023-02-28,1120
2023-03-01,1127
2023-03-02,1119
2023-03-03,1129
2023-03-04,1144
2023-03-05,1147
2023-03-06,1142
2023-03-07,1162
2023-03-08,1132
2023-03-09,1157
2023-03-10,1151
2023-03-11,1168
2023-03-12,1193
2023-03-13,1225
2023-03-14,1229
2023-03-15,1204
2023-03-16,1207
2023-03-17,1237
2023-03-18,1226
2023-03-19,1225
2023-03-20,1249
2023-03-21,1257
2023-03-22,1252
2023-03-23,1269
2023-03-24,1275
2023-03-25,1242
2023-03-26,1300
2023-03-27,1291
2023-03-28,1248
2023-03-29,1331
2023-03-30,1335
2023-03-31,1327
2023-04-01,1297
2023-04-02,1295
2023-04-03,1325
2023-04-04,1323
2023-04-05,1329
2023-04-06,1319
2023-04-07,1338
2023-04-08,1341
2023-04-09,1357
2023-04-10,1375
2023-04-11,1352
2023-04-12,1350
2023-04-13,1338
2023-04-14,1333
2023-04-15,1396
2023-04-16,1372
2023-04-17,1405
2023-04-18,1351
2023-04-19,1403
2023-04-20,1357
2023-04-21,1387
2023-04-22,1381
2023-04-23,1366
2023-04-24,1410
2023-04-25,1379
2023-04-26,1394
2023-04-27,1359
2023-04-28,1406
2023-04-29,1359
2023-04-30,1372
2023-05-01,1410
2023-05-02,1412
2023-05-03,1419
2023-05-04,1424
2023-05-05,1370
2023-05-06,1411
2023-05-07,1365
2023-05-08,1388
2023-05-09,1429
2023-05-10,1413
2023-05-11,1405
2023-05-12,1390
2023-05-13,1397
2023-05-14,1377
2023-05-15,1396
2023-05-16,1388
2023-05-17,1424
2023-05-18,1411
2023-05-19,1390
2023-05-20,1388
2023-05-21,1422
2023-05-22,1415
2023-05-23,1380
2023-05-24,1432
2023-05-25,1385
2023-05-26,1400
2023-05-27,1367
2023-05-28,1395
2023-05-29,1403
2023-05-30,1385
2023-05-31,1371
2023-06-01,1405
2023-06-02,1417
2023-06-03,1360
2023-06-04,1372
2023-06-05,1373
2023-06-06,1349
2023-06-07,1327
2023-06-08,1350
2023-06-09,1310
2023-06-10,1312
2023-06-11,1335
2023-06-12,1350
2023-06-13,1344
2023-06-14,1330
2023-06-15,1326
2023-06-16,1337
2023-06-17,1328
2023-06-18,1359
2023-06-19,1323
2023-06-20,1317
2023-06-21,1292
2023-06-22,1295
2023-06-23,1257
2023-06-24,1267
2023-06-25,1274
2023-06-26,1333
2023-06-27,1286
2023-06-28,1294
2023-06-29,1250
2023-06-30,1238
2023-07-01,1221
2023-07-02,1238
2023-07-03,1221
2023-07-04,1222
2023-07-05,1230
2023-07-06,1240
2023-07-07,1210
2023-07-08,1291
2023-07-09,1213
2023-07-10,1183
2023-07-11,1175
2023-07-12,1188
2023-07-13,1205
2023-07-14,1178
2023-07-15,1184
2023-07-16,1144
2023-07-17,1166
2023-07-18,1200
2023-07-19,1220
2023-07-20,1140
2023-07-21,1149
2023-07-22,1138
2023-07-23,1149
2023-07-24,1091
2023-07-25,1076
2023-07-26,1158
2023-07-27,1123
2023-07-28,1116
2023-07-29,1071
2023-07-30,1119
2023-07-31,1066
2023-08-01,1066
2023-08-02,1069
2023-08-03,1089
2023-08-04,1042
2023-08-05,1026
2023-08-06,1019
2023-08-07,1014
2023-08-08,1031
2023-08-09,973
2023-08-10,1023
2023-08-11,955
2023-08-12,1026
2023-08-13,1007
2023-08-14,986
2023-08-15,1021
2023-08-16,996
2023-08-17,957
2023-08-18,929
2023-08-19,938
2023-08-20,940
2023-08-21,924
2023-08-22,921
2023-08-23,934
2023-08-24,904
2023-08-25,935
2023-08-26,941
2023-08-27,884
2023-08-28,875
2023-08-29,920
2023-08-30,846
2023-08-31,876
2023-09-01,879
2023-09-02,840
2023-09-03,870
2023-09-04,867
2023-09-05,801
2023-09-06,807
