DateTime,Refugees
2022-09-01,2
2022-09-02,21
2022-09-03,0
2022-09-04,11
2022-09-05,17
2022-09-06,26
2022-09-07,33
2022-09-08,22
2022-09-09,21
2022-09-10,15
2022-09-11,32
2022-09-12,59
2022-09-13,21
2022-09-14,65
2022-09-15,40
2022-09-16,42
2022-09-17,41
2022-09-18,50
2022-09-19,56
2022-09-20,67
2022-09-21,103
2022-09-22,79
2022-09-23,121
2022-09-24,60
2022-09-25,74
2022-09-26,131
2022-09-27,127
2022-09-28,60
2022-09-29,116
2022-09-30,128
2022-10-01,103
2022-10-02,130
2022-10-03,109
2022-10-04,124
2022-10-05,130
2022-10-06,161
2022-10-07,161
2022-10-08,134
2022-10-09,193
2022-10-10,215
2022-10-11,135
2022-10-12,145
2022-10-13,161
2022-10-14,183
2022-10-15,184
2022-10-16,189
2022-10-17,215
2022-10-18,223
2022-10-19,205
2022-10-20,236
2022-10-21,264
2022-10-22,291
2022-10-23,195
2022-10-24,257
2022-10-25,210
2022-10-26,248
2022-10-27,204
2022-10-28,254
2022-10-29,263
2022-10-30,260
2022-10-31,321
2022-11-01,290
2022-11-02,291
2022-11-03,321
2022-11-04,286
2022-11-05,297
2022-11-06,318
2022-11-07,309
2022-11-08,334
2022-11-09,352
2022-11-10,328
2022-11-11,344
2022-11-12,368
2022-11-13,422
2022-11-14,398
2022-11-15,405
2022-11-16,376
2022-11-17,349
2022-11-18,415
2022-11-19,404
2022-11-20,429
2022-11-21,429
2022-11-22,486
2022-11-23,408
2022-11-24,477
2022-11-25,499
2022-11-26,460
2022-11-27,507
2022-11-28,423
2022-11-29,469
2022-11-30,504
2022-12-01,504
2022-12-02,526
2022-12-03,470
2022-12-04,528
2022-12-05,579
2022-12-06,580
2022-12-07,543
2022-12-08,632
2022-12-09,573
2022-12-10,566
2022-12-11,606
2022-12-12,632
2022-12-13,645
2022-12-14,653
2022-12-15,620
2022-12-16,670
2022-12-17,686
2022-12-18,668
2022-12-19,656
2022-12-20,684
2022-12-21,686
2022-12-22,639
2022-12-23,684
2022-12-24,746
2022-12-25,749
2022-12-26,771
2022-12-27,752
2022-12-28,751
2022-12-29,793
2022-12-30,845
2022-12-31,765
2023-01-01,797
2023-01-02,791
2023-01-03,820
2023-01-04,813
2023-01-05,830
2023-01-06,893
2023-01-07,870
2023-01-08,888
2023-01-09,929
2023-01-10,920
2023-01-11,904
2023-01-12,964
2023-01-13,907
2023-01-14,1001
2023-01-15,1006
2023-01-16,959
2023-01-17,1036
2023-01-18,939
2023-01-19,930
2023-01-20,1004
2023-01-21,1032
2023-01-22,1034
2023-01-23,1072
2023-01-24,1048
2023-01-25,1045
2023-01-26,1107
2023-01-27,1101
2023-01-28,1094
2023-01-29,1021
2023-01-30,1163
2023-01-31,1121
2023-02-01,1143
2023-02-02,1166
2023-02-03,1160
2023-02-04,1188
2023-02-05,1129
2023-02-06,1209
2023-02-07,1269
2023-02-08,1213
2023-02-09,1256
2023-02-10,1207
2023-02-11,1272
2023-02-12,1238
2023-02-13,1279
2023-02-14,1292
2023-02-15,1307
2023-02-16,1261
2023-02-17,1342
2023-02-18,1304
2023-02-19,1349
2023-02-20,1347
2023-02-21,1376
2023-02-22,1365
2023-02-23,1363
2023-02-24,1351
2023-02-25,1382
2023-02-26,1406
2023-02-27,1452
2023-02-28,1433
2023-03-01,1442
2023-03-02,1430
2023-03-03,1443
2023-03-04,1463
2023-03-05,1466
2023-03-06,1460
2023-03-07,1485
2023-03-08,1447
2023-03-09,1480
2023-03-10,1472
2023-03-11,1493
2023-03-12,1526
2023-03-13,1566
2023-03-14,1571
2023-03-15,1539
2023-03-16,1544
2023-03-17,1582
2023-03-18,1567
2023-03-19,1567
2023-03-20,1596
2023-03-21,1607
2023-03-22,1601
2023-03-23,1623
2023-03-24,1630
2023-03-25,1588
2023-03-26,1663
2023-03-27,1650
2023-03-28,1596
2023-03-29,1701
2023-03-30,1707
2023-03-31,1697
2023-04-01,1659
2023-04-02,1656
2023-04-03,1695
2023-04-04,1692
2023-04-05,1699
2023-04-06,1686
2023-04-07,1711
2023-04-08,1715
2023-04-09,1735
2023-04-10,1758
2023-04-11,1728
2023-04-12,1725
2023-04-13,1710
2023-04-14,1704
2023-04-15,1785
2023-04-16,1754
2023-04-17,1796
2023-04-18,1728
2023-04-19,1794
2023-04-20,1736
2023-04-21,1774
2023-04-22,1766
2023-04-23,1746
2023-04-24,1803
2023-04-25,1763
2023-04-26,1782
2023-04-27,1737
2023-04-28,1797
2023-04-29,1738
2023-04-30,1754
2023-05-01,1803
2023-05-02,1805
2023-05-03,1814
2023-05-04,1820
2023-05-05,1752
2023-05-06,1804
2023-05-07,1746
2023-05-08,1775
2023-05-09,1827
2023-05-10,1807
2023-05-11,1796
2023-05-12,1777
2023-05-13,1786
2023-05-14,1760
2023-05-15,1785
2023-05-16,1774
2023-05-17,1820
2023-05-18,1804
2023-05-19,1777
2023-05-20,1775
2023-05-21,1818
2023-05-22,1809
2023-05-23,1765
2023-05-24,1831
2023-05-25,1771
2023-05-26,1790
2023-05-27,1747
2023-05-28,1784
2023-05-29,1794
2023-05-30,1771
2023-05-31,1752
2023-06-01,1797
2023-06-02,1812
2023-06-03,1739
2023-06-04,1754
2023-06-05,1756
2023-06-06,1725
2023-06-07,1697
2023-06-08,1726
2023-06-09,1675
2023-06-10,1678
2023-06-11,1707
2023-06-12,1726
2023-06-13,1718
2023-06-14,1700
2023-06-15,1695
2023-06-16,1710
2023-06-17,1698
2023-06-18,1737
2023-06-19,1691
2023-06-20,1684
2023-06-21,1652
2023-06-22,1656
2023-06-23,1607
2023-06-24,1620
2023-06-25,1629
2023-06-26,1704
2023-06-27,1644
2023-06-28,1654
2023-06-29,1598
2023-06-30,1582
2023-07-01,1561
2023-07-02,1583
2023-07-03,1561
2023-07-04,1563
2023-07-05,1573
2023-07-06,1586
2023-07-07,1548
2023-07-08,1651
2023-07-09,1551
2023-07-10,1513
2023-07-11,1502
2023-07-12,1519
2023-07-13,1540
2023-07-14,1506
2023-07-15,1514
2023-07-16,1463
2023-07-17,1490
2023-07-18,1534
2023-07-19,1559
2023-07-20,1457
2023-07-21,1469
2023-07-22,1456
2023-07-23,1470
2023-07-24,1395
2023-07-25,1376
2023-07-26,1481
2023-07-27,1436
2023-07-28,1427
2023-07-29,1370
2023-07-30,1431
2023-07-31,1363
2023-08-01,1362
2023-08-02,1367
2023-08-03,1393
2023-08-04,1333
2023-08-05,1312
2023-08-06,1303
2023-08-07,1297
2023-08-08,1318
2023-08-09,1245
2023-08-10,1308
2023-08-11,1221
2023-08-12,1311
2023-08-13,1288
2023-08-14,1260
2023-08-15,1305
2023-08-16,1274
2023-08-17,1224
2023-08-18,1188
2023-08-19,1200
2023-08-20,1202
2023-08-21,1181
2023-08-22,1177
2023-08-23,1194
2023-08-24,1155
2023-08-25,1196
2023-08-26,1203
2023-08-27,1130
2023-08-28,1119
2023-08-29,1177
2023-08-30,1081
2023-08-31,1120
2023-09-01,1124
2023-09-02,1074
2023-09-03,1112
2023-09-04,1108
2023-09-05,1024
2023-09-06,1032
2023-09-07,1086
2023-09-08,1062
2023-09-09,1016
2023-09-10,1011
2023-09-11,1004
2023-09-12,1053
2023-09-13,1065
2023-09-14,1012
2023-09-15,985
2023-09-16,1004
2023-09-17,1036
2023-09-18,1017
2023-09-19,1017
2023-09-20,1003
2023-09-21,1000
2023-09-22,960
2023-09-23,956
2023-09-24,956
2023-09-25,984
2023-09-26,909
2023-09-27,992
2023-09-28,949
2023-09-29,905
2023-09-30,980
2023-10-01,964
2023-10-02,913
2023-10-03,948
2023-10-04,941
2023-10-05,871
2023-10-06,939
2023-10-07,877
2023-10-08,928
2023-10-09,947
2023-10-10,891
2023-10-11,908
2023-10-12,922
2023-10-13,961
2023-10-14,849
2023-10-15,894
2023-10-16,892
2023-10-17,885
2023-10-18,877
2023-10-19,872
2023-10-20,893
2023-10-21,889
2023-10-22,887
2023-10-23,910
2023-10-24,878
2023-10-25,885
2023-10-26,901
2023-10-27,923
2023-10-28,900
2023-10-29,796
2023-10-30,852
2023-10-31,859
2023-11-01,882
2023-11-02,873
2023-11-03,878
2023-11-04,860
2023-11-05,887
2023-11-06,903
2023-11-07,904
2023-11-08,853
2023-11-09,863
2023-11-10,870
2023-11-11,868
2023-11-12,887
2023-11-13,897
2023-11-14,893
2023-11-15,882
2023-11-16,860
2023-11-17,860
2023-11-18,856
2023-11-19,876
2023-11-20,923
2023-11-21,908
2023-11-22,900
2023-11-23,927
2023-11-24,907
2023-11-25,922
2023-11-26,892
2023-11-27,897
2023-11-28,910
2023-11-29,920
2023-11-30,938
2023-12-01,941
2023-12-02,942
2023-12-03,934
2023-12-04,949
2023-12-05,956
2023-12-06,941
2023-12-07,973
2023-12-08,944
2023-12-09,1047
2023-12-10,997
2023-12-11,994
2023-12-12,971
2023-12-13,1045
2023-12-14,1002
2023-12-15,1046
2023-12-16,984
2023-12-17,1061
2023-12-18,1049
2023-12-19,1025
2023-12-20,1044
2023-12-21,1035
2023-12-22,1036
2023-12-23,1051
2023-12-24,1091
2023-12-25,1067
2023-12-26,1070
2023-12-27,1131
2023-12-28,1029
2023-12-29,1131
2023-12-30,1169
2023-12-31,1095
2024-01-01,1161
2024-01-02,1153
2024-01-03,1169
2024-01-04,1173
2024-01-05,1156
2024-01-06,1110
2024-01-07,1139
2024-01-08,1173
2024-01-09,1154
2024-01-10,1214
2024-01-11,1200
2024-01-12,1217
2024-01-13,1230
2024-01-14,1227
2024-01-15,1275
2024-01-16,1196
2024-01-17,1281
