#name,#name,country,latitude,longitude,location_type,conflict_date,population
Damascus,Damascus,Syria,33.4923,36.3209,conflict_zone,5,1754000
Lattakia,Lattakia,Syria,35.7796,35.9613,conflict_zone,0,1008000
Ar Raqqa,Ar Raqqa,Syria,35.9428,39.0519,conflict_zone,0,944000
Idleb,Idleb,Syria,35.6355,36.5311,conflict_zone,0,1501000
Dara,Dara,Syria,32.831,36.1575,conflict_zone,0,1027000
Aleppo,Aleppo,Syria,36.206,37.1524,conflict_zone,0,4868000
Homs,Homs,Syria,34.5505,36.6133,conflict_zone,3,1803000
Al-Hasakah,Al-Hasakeh,Syria,36.48935025,40.75381874,conflict_zone,3,1512000
Deir ez Zor,Deir ez Zor,Syria,35.3539,40.1719,conflict_zone,4,1239000
Hama,Hama,Syria,35.1337,36.7613,conflict_zone,4,1628000
As Sweida,As Sweida,Syria,32.7068,36.568,conflict_zone,6,370000
Tartous,Tartous,Syria,34.8756,36.2569,conflict_zone,17,797000
Quneitra,Quneitra,Syria,33.1821,35.8908,conflict_zone,30,90000
Solidarity,Turkey,Turkey,36.48456324,36.74524712,camp,,300
Nizip,Nizip,Turkey,37.10591747,37.91169872,camp,,38543
Elbeyli,Gaziantep,Turkey,37.01372385,37.36162226,camp,,36076
Osmaniye,Osmaniye,Turkey,37.1356665,36.20531421,camp,,7305
Adana,Adana,Turkey,37.04271888,35.49010241,camp,,600
Al Roj,Turkey,Turkey,37.04667003,41.21808082,camp,,3380
Zaatari,Jordan,Jordan,22.29442081,36.32190548,camp,,80000
Abu Abdullah,Al Mafraq,Jordan,32.37183871,36.23461708,camp,,6000
Emirati,Azraq,Jordan,32.03387337,36.44728106,camp,,4500
Jannine,Jannine,Lebanon,33.68002352,35.79336378,camp,,60000
Horsh,Beirut,Lebanon,33.87122891,35.51041325,camp,,25000
Minyara,Ibrahim,Lebanon,34.57852248,36.05781211,camp,,8000
Kawergosk,Mosul,Iraq,36.84025485,43.86882859,camp,,13646
Kursi,Kursi,Iraq,36.7261676,41.84257144,camp,,11200
Mazri,Mazri,Iraq,37.15245411,42.48568638,camp,,16000
Khanik,Khanke,Iraq,36.81181892,42.77531295,camp,,16460
Sharya,Sharya,Iraq,36.82508407,42.97460634,camp,,13277
Bardarash,Rovia,Iraq,36.52985012,43.57640756,camp,,4010
Khazir,Iraq,Iraq,36.46147364,43.55861242,camp,,30000
Arbat,Arbat,Iraq,35.38143932,45.60633241,camp,,8000
Baharka,Erbil,Iraq,36.4498001,43.99665615,camp,,10800
Zamalek,Zamalek,Egypt,30.10709504,31.21689891,camp,,145157
