Name,Population
Damascus,1754000
Lattakia,1008000
Ar Raqqa,944000
Idleb,1501000
Dara,1027000
Aleppo,4868000
Homs,1803000
Al-Hasakah,1512000
Deir ez Zor,1239000
Hama,1628000
As Sweida,370000
Tartous,797000
Quneitra,90000
Solidarity,300
Nizip,38543
Elbeyli,36076
Osmaniye,7305
Adana,600
Al Roj,3380
Zaatari,80000
Abu Abdullah,6000
Emirati,4500
Jannine,60000
Horsh,25000
Minyara,8000
Kawergosk,13646
Kursi,11200
Mazri,16000
Khanik,16460
Sharya,13277
Bardarash,4010
Khazir,30000
Arbat,8000
Baharka,10800
Zamalek,145157
