event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
VEN19802,"07 April 2023",2023,1,"Political violence",Battles,"Armed clash","Military Forces of Venezuela (1999-)",,1,13,,862,"South America",Venezuela,Bolivar,Angostura,,"La Paragua",6.8333,-63.3339,1,"Diario Primicia",Subnational,"On 7 April 2023, in La Paragua (Bolivar), FANB military forces shot and killed a suspected leader of the El Ciego Gang, during an armed confrontation. The deceased had a criminal record for homicide, drug trafficking, and theft. The soldiers collected a gun and ammunition. 1 fatality.",1,,1681237597
VEN19802,"07 April 2023",2023,1,"Political violence",Battles,"Armed clash","El Ciego Gang",,3,13,,862,"South America",Venezuela,Bolivar,Angostura,,"La Paragua",6.8333,-63.3339,1,"Diario Primicia",Subnational,"On 7 April 2023, in La Paragua (Bolivar), FANB military forces shot and killed a suspected leader of the El Ciego Gang, during an armed confrontation. The deceased had a criminal record for homicide, drug trafficking, and theft. The soldiers collected a gun and ammunition. 1 fatality.",1,,1681237597
VEN19803,"07 April 2023",2023,2,"Political violence",Battles,"Armed clash","Military Forces of Venezuela (1999-) GNB: Venezuelan National Guard",,1,13,,862,"South America",Venezuela,Zulia,Miranda,,"Los Puertos de Altagracia",10.7149,-71.5216,2,"Noticia al Minuto",National,"Around 7 April 2023 (as reported), in Miranda municipality (coded to Los Puertos de Altagracia, Zulia), GNB military forces shot and killed a member of the El Huerfano Gang, during an armed confrontation in the Los Cristales sector, San Antonio parish. The suspect resisted authority and opened fire on the security forces. The deceased was sought for carrying out extortion threats on local farmers. The soldiers collected a gun and ammunition. 1 fatality.",1,,1681237597
VEN19803,"07 April 2023",2023,2,"Political violence",Battles,"Armed clash","El Huerfano Gang",,3,13,,862,"South America",Venezuela,Zulia,Miranda,,"Los Puertos de Altagracia",10.7149,-71.5216,2,"Noticia al Minuto",National,"Around 7 April 2023 (as reported), in Miranda municipality (coded to Los Puertos de Altagracia, Zulia), GNB military forces shot and killed a member of the El Huerfano Gang, during an armed confrontation in the Los Cristales sector, San Antonio parish. The suspect resisted authority and opened fire on the security forces. The deceased was sought for carrying out extortion threats on local farmers. The soldiers collected a gun and ammunition. 1 fatality.",1,,1681237597
VEN19798,"06 April 2023",2023,1,"Political violence",Battles,"Armed clash","Military Forces of Venezuela (1999-) GNB: Venezuelan National Guard",,1,13,,862,"South America",Venezuela,Zulia,"Rosario de Perija",,"La Villa del Rosario",10.3258,-72.3134,1,"El Pitazo; Primera Edicion Col",Subnational-National,"On 6 April 2023, in La Villa del Rosario (Zulia), GNB military forces shot and killed two members of the El Jose Leonardo Gang, during an armed confrontation. The suspects resisted authority and opened fire on the soldiers. It is thought that the deceased were the perpetrators of an extortion-related arson attack on a pharmacy occurred the day before (coded separately). The authorities collected two guns. 2 fatalities.",2,,1681237597
VEN19798,"06 April 2023",2023,1,"Political violence",Battles,"Armed clash","El Jose Leonardo Gang",,3,13,,862,"South America",Venezuela,Zulia,"Rosario de Perija",,"La Villa del Rosario",10.3258,-72.3134,1,"El Pitazo; Primera Edicion Col",Subnational-National,"On 6 April 2023, in La Villa del Rosario (Zulia), GNB military forces shot and killed two members of the El Jose Leonardo Gang, during an armed confrontation. The suspects resisted authority and opened fire on the soldiers. It is thought that the deceased were the perpetrators of an extortion-related arson attack on a pharmacy occurred the day before (coded separately). The authorities collected two guns. 2 fatalities.",2,,1681237597
VEN19800,"05 April 2023",2023,1,"Political violence",Battles,"Armed clash","Police Forces of Venezuela (1999-) CPNB: National Bolivarian Police",,1,13,,862,"South America",Venezuela,Carabobo,"Juan Jose Mora",,Urama,10.4566,-68.3198,2,"El Carabobeno; Noticia al Minuto",Subnational-National,"On 5 April 2023, in Juan Jose Mora municipality (coded to Urama, Carabobo), PNB police forces clashed with several members of the El Mimosin and the Wilmer Bachiller gangs, during an armed confrontation in a mountainous area between Carabobo and Yaracuy states. The partner of one of the gang leaders was shot dead, another suspect was thought to have been injured. The gang members detonated two grenades before fleeing the area. Police collected three assault rifles, two handguns, two grenades, and ammunition. There is no further information at this point in time. 1 fatality.",1,,1681237597
VEN19800,"05 April 2023",2023,1,"Political violence",Battles,"Armed clash","El Mimosin Gang","Wilmer Bachiller Gang",3,13,,862,"South America",Venezuela,Carabobo,"Juan Jose Mora",,Urama,10.4566,-68.3198,2,"El Carabobeno; Noticia al Minuto",Subnational-National,"On 5 April 2023, in Juan Jose Mora municipality (coded to Urama, Carabobo), PNB police forces clashed with several members of the El Mimosin and the Wilmer Bachiller gangs, during an armed confrontation in a mountainous area between Carabobo and Yaracuy states. The partner of one of the gang leaders was shot dead, another suspect was thought to have been injured. The gang members detonated two grenades before fleeing the area. Police collected three assault rifles, two handguns, two grenades, and ammunition. There is no further information at this point in time. 1 fatality.",1,,1681237597
VEN19801,"05 April 2023",2023,1,"Political violence","Violence against civilians",Attack,"Unidentified Gang and/or Colectivo",,3,37,"Civilian targeting",862,"South America",Venezuela,Sucre,Sucre,,Cumana,10.454,-64.1826,2,"Cactus 24",National,"On 5 April 2023, in Cumana (Sucre), four unidentified crime group suspects beat, shot and killed, a former Sucre state policeman, during an attack in the Cumanagoto Norte neighborhood, Ayacucho parish. The killing is thought to be a settling of scores. One of the perpetrators was arrested shortly after. 1 fatality.",1,,1681237597
VEN19801,"05 April 2023",2023,1,"Political violence","Violence against civilians",Attack,"Civilians (Venezuela)","Former Police Forces of Venezuela (1999-)",7,37,"Civilian targeting",862,"South America",Venezuela,Sucre,Sucre,,Cumana,10.454,-64.1826,2,"Cactus 24",National,"On 5 April 2023, in Cumana (Sucre), four unidentified crime group suspects beat, shot and killed, a former Sucre state policeman, during an attack in the Cumanagoto Norte neighborhood, Ayacucho parish. The killing is thought to be a settling of scores. One of the perpetrators was arrested shortly after. 1 fatality.",1,,1681237597
