name,country,latitude,longitude,location_type,conflict_date,population
Zulia,Venezuela,10.7149,-71.5216,conflict_zone,218,0
Anzoategui,Venezuela,10.2138,-64.6328,conflict_zone,161,0
Cojedes,Venezuela,9.6612,-68.5827,conflict_zone,1,0
Guarico,Venezuela,8.1066,-67.6072,conflict_zone,182,0
Miranda,Venezuela,10.1182,-66.7751,conflict_zone,214,0
Carabobo,Venezuela,10.4566,-68.3198,conflict_zone,216,0
Lara,Venezuela,10.0647,-69.357,conflict_zone,196,0
Bolivar,Venezuela,6.8333,-63.3339,conflict_zone,218,0
Distrito Capital,Venezuela,10.5127,-66.9129,conflict_zone,206,0
Aragua,Venezuela,10.407,-67.2893,conflict_zone,211,0
Trujillo,Venezuela,9.6054,-70.4483,conflict_zone,176,0
Yaracuy,Venezuela,10.1524,-68.5648,conflict_zone,203,0
Tachira,Venezuela,7.9194,-72.4431,conflict_zone,189,0
Monagas,Venezuela,9.7457,-63.1832,conflict_zone,103,0
Barinas,Venezuela,8.4784,-68.3793,conflict_zone,193,0
Falcon,Venezuela,11.3947,-69.6801,conflict_zone,213,0
Portuguesa,Venezuela,9.5545,-69.1956,conflict_zone,144,1055246
Sucre,Venezuela,10.454,-64.1826,conflict_zone,216,48235
Merida,Venezuela,8.5897,-71.1561,conflict_zone,79,0
Amazonas,Venezuela,4.0439,-67.701,conflict_zone,127,0
La Guaira,Venezuela,10.6051,-66.8975,conflict_zone,206,0
